"","fips","State","state","county","GISJOIN","TotalPop","AsiaPop10k","EuropePop10k","white10k","insured18to35_per10k","insured35to64_per10k","IncomeIneq","med_age","bachelor_degreeM_per10k","UrbanPer10k","perCapitaIncome","County.y","p_Fair.or.Poor.Health","Primary.Care.Physicians.Rate","p_Smokers","Preventable.Hospitalization.Rate","p_Adults.with.Obesity","p_Vaccinated","High.School.Graduation.Rate","Social.Association.Rate","p_Uninsured","County"
"1",1001,"Alabama",1,1,"G0100010",54571,51.924,44.963,7853.072,NA,NA,0.405,36.2,1529.258,5799.784,53255,"Autauga",21,45,18,7108,33,41,90,12.1,9,"Autauga County"
"2",1003,"Alabama",1,3,"G0100030",182265,60.526,72.871,8567.361,1880.045,791.601,0.439,41,1977.724,5772.09,50147,"Baldwin",18,73,17,4041,31,44,86,10.2,11,"Baldwin County"
"3",1005,"Alabama",1,5,"G0100050",27457,20.217,17.69,4800.233,NA,NA,0.464,38,691.008,3221.037,33219,"Barbour",30,32,22,6209,42,37,81,7.5,12,"Barbour County"
"4",1007,"Alabama",1,7,"G0100070",22915,5.307,22.999,7584.988,NA,NA,0.411,38.3,836.81,3164.739,41770,"Bibb",19,49,19,5961,38,38,84,8.4,10,"Bibb County"
"5",1009,"Alabama",1,9,"G0100090",57322,33.867,11.113,9257.877,NA,NA,0.422,38.3,904.754,1004.85,45549,"Blount",22,22,19,4060,34,39,93,8.4,13,"Blount County"
"6",1011,"Alabama",1,11,"G0100110",10914,43.028,44.859,2297.05,NA,NA,0.533,38.7,735.255,4862.562,31602,"Bullock",31,29,23,6632,37,28,70,7.8,11,"Bullock County"
"7",1013,"Alabama",1,13,"G0100130",20947,57.43,11.486,5441.829,NA,NA,0.463,39.7,739.448,2876.784,30659,"Butler",28,25,22,9203,43,35,82,9.1,11,"Butler County"
"8",1015,"Alabama",1,15,"G0100150",118572,56.082,44.388,7492.494,2329.715,660.484,0.453,38.1,1008.65,6630.317,38407,"Calhoun",23,64,21,6581,39,38,92,14.5,12,"Calhoun County"
"9",1017,"Alabama",1,17,"G0100170",34215,24.292,13.303,5878.124,NA,NA,0.425,40.1,764.727,5085.197,31467,"Chambers",24,42,19,5622,40,42,86,17.8,12,"Chambers County"
"10",1019,"Alabama",1,19,"G0100190",25989,11.673,9.339,9265.843,NA,NA,0.439,43.9,739.02,1426.373,40690,"Cherokee",21,39,17,5521,35,41,95,8.5,11,"Cherokee County"
