"state","county","fips","Grocery & pharmacy","Parks","Residential","Retail & recreation","Transit stations","Workplace"
"Alabama","Autauga",1001,11.923,NA,0.142,13.065,NA,-1.613
"Alabama","Baldwin",1003,13.993,60.124,-0.574,10.857,10,3.886
"Alabama","Barbour",1005,-10.687,NA,NA,9.622,NA,3.639
"Alabama","Bibb",1007,17.844,NA,NA,12.316,NA,4.376
"Alabama","Blount",1009,1.747,NA,0.83,10.089,NA,0.003
"Alabama","Bullock",1011,NA,NA,NA,NA,NA,1.518
"Alabama","Butler",1013,-0.855,NA,NA,12.44,NA,0.718
"Alabama","Calhoun",1015,2.273,NA,0.39,10.294,NA,0.515
"Alabama","Chambers",1017,11.33,NA,1.033,23.227,NA,1.517
"Alabama","Cherokee",1019,4.547,NA,NA,10.142,NA,-0.524
"Alabama","Chilton",1021,6.504,NA,-0.686,13.917,1.623,6.613
"Alabama","Choctaw",1023,4.617,NA,NA,NA,NA,9.523
"Alabama","Clarke",1025,-2.94,NA,NA,11.619,NA,1.598
"Alabama","Clay",1027,4.342,NA,-2.177,14.812,NA,NA
"Alabama","Cleburne",1029,13.334,NA,NA,NA,5.888,1.841
"Alabama","Coffee",1031,7.957,NA,0.284,22.442,NA,-2.152
"Alabama","Colbert",1033,6.003,-19.044,0.415,9.278,28.257,0.902
"Alabama","Conecuh",1035,3.92,NA,0,3.566,NA,5.972
"Alabama","Coosa",1037,NA,NA,NA,NA,NA,3.614
"Alabama","Covington",1039,10.081,NA,0.724,12.772,NA,-0.777
"Alabama","Crenshaw",1041,1.47,NA,NA,14.034,NA,-3.774
"Alabama","Cullman",1043,7.678,NA,-0.221,10.107,14.15,0.126
"Alabama","Dale",1045,13.899,NA,-0.971,14.492,-3.334,1.888
"Alabama","Dallas",1047,3.52,NA,-1.552,16.927,NA,-0.005
"Alabama","DeKalb",1049,5.961,NA,0.013,4.464,NA,1.46
"Alabama","Elmore",1051,6.746,NA,0.193,16.653,NA,1.72
"Alabama","Escambia",1053,14.47,NA,0.607,8.237,NA,1.614
"Alabama","Etowah",1055,-0.163,NA,1.026,6.857,-6.175,-0.114
"Alabama","Fayette",1057,NA,NA,NA,8.573,NA,-3.704
"Alabama","Franklin",1059,2.798,NA,-0.835,10.434,NA,4.189
"Alabama","Geneva",1061,16.212,NA,-0.537,11.869,NA,1.832
"Alabama","Greene",1063,5.354,NA,NA,NA,4.944,-2.151
