"state","county","fips","Grocery & pharmacy","Parks","Residential","Retail & recreation","Transit stations","Workplace"
"Alabama","Autauga",1001,-1.987,NA,-0.124,-2.761,NA,3.141
"Alabama","Baldwin",1003,12.99,59.445,-1.076,14.519,18.136,0.765
"Alabama","Barbour",1005,-9.816,NA,NA,6.887,NA,1.296
"Alabama","Bibb",1007,7.694,NA,NA,-5.321,NA,4.028
"Alabama","Blount",1009,-1.515,NA,0.605,-4.402,NA,-0.445
"Alabama","Bullock",1011,-9.373,NA,NA,-5.086,NA,0.004
"Alabama","Butler",1013,-7.857,NA,NA,6.154,NA,-2.191
"Alabama","Calhoun",1015,-1.979,NA,0.286,1.395,NA,2.57
"Alabama","Chambers",1017,-6.531,NA,0.306,4.195,NA,5.114
"Alabama","Cherokee",1019,-3.296,NA,NA,-1.335,NA,-1.113
"Alabama","Chilton",1021,-3.104,NA,0.074,-0.508,8.904,5.066
"Alabama","Choctaw",1023,-8.976,NA,NA,-7.693,NA,-1.639
"Alabama","Clarke",1025,-15.502,NA,NA,0.262,NA,2.499
"Alabama","Clay",1027,3.444,NA,5.745,-6.25,NA,NA
"Alabama","Cleburne",1029,2.857,NA,NA,-5.173,0.002,1.927
"Alabama","Coffee",1031,-3.781,NA,-0.836,1.579,NA,1.983
"Alabama","Colbert",1033,0.523,-48.838,-0.263,-0.206,3.667,0.237
"Alabama","Conecuh",1035,-8.34,NA,3.031,-4.258,NA,31.644
"Alabama","Coosa",1037,NA,NA,NA,NA,NA,4.941
"Alabama","Covington",1039,-2.951,NA,-0.462,0.002,NA,4.579
"Alabama","Crenshaw",1041,-6.669,NA,NA,4.548,NA,-4.853
"Alabama","Cullman",1043,1.022,-1.583,0.938,0.064,-4.069,0.273
"Alabama","Dale",1045,29.409,NA,-0.486,-3.067,-6.779,0.215
"Alabama","Dallas",1047,-9.383,NA,2.491,-2.76,NA,3.878
"Alabama","DeKalb",1049,0.469,NA,1.197,5.443,NA,0.385
"Alabama","Elmore",1051,-9.242,8.93,-0.065,1.985,NA,0.965
"Alabama","Escambia",1053,7.811,NA,0.898,1.895,NA,2.498
"Alabama","Etowah",1055,-3.467,NA,0.878,3.422,-2.322,1.337
"Alabama","Fayette",1057,NA,NA,NA,-3.622,NA,2.667
"Alabama","Franklin",1059,1.154,NA,0.501,6.96,NA,2.656
"Alabama","Geneva",1061,-5.112,NA,NA,-2.624,NA,0.942
"Alabama","Greene",1063,1.512,NA,NA,-17.018,9.335,-0.048
"Alabama","Hale",1065,-11.628,NA,NA,4.41,NA,2.173
"Alabama","Henry",1067,-4.393,NA,NA,5.733,NA,-0.005
"Alabama","Houston",1069,-0.928,NA,-0.73,0.219,-1.298,1.733
"Alabama","Jackson",1071,-9.587,NA,0.829,7.219,NA,2.132
"Alabama","Jefferson",1073,-1.486,11.213,0.633,-0.015,1.808,1.118
"Alabama","Lamar",1075,-2.7,NA,NA,0,NA,-0.063
"Alabama","Lauderdale",1077,-2.133,NA,0.149,2.034,NA,-0.29
"Alabama","Lawrence",1079,-5.486,NA,2.43,-4.481,NA,2.496
"Alabama","Lee",1081,-3.244,NA,-0.264,0.65,NA,2.8
"Alabama","Limestone",1083,-5.101,5.402,-0.361,2.734,NA,3.095
"Alabama","Lowndes",1085,NA,NA,NA,NA,15.385,5.885
"Alabama","Macon",1087,-16.981,NA,8.447,5.043,2.215,NA
"Alabama","Madison",1089,0.601,5.216,0.639,0.754,7.286,1.074
"Alabama","Marengo",1091,-0.707,NA,1.609,3.419,NA,NA
"Alabama","Marion",1093,2.428,NA,NA,-7.174,NA,-0.558
"Alabama","Marshall",1095,-0.769,12.717,1.192,1.467,NA,0.232
"Alabama","Mobile",1097,4.582,46.38,-1.103,8.046,16.779,0.27
"Alabama","Monroe",1099,-1.034,NA,-1.055,-3.844,NA,NA
"Alabama","Montgomery",1101,-1.901,37.499,0.505,2.436,-10.673,1.927
"Alabama","Morgan",1103,-2.276,-7.341,0.006,3.434,14.107,1.822
"Alabama","Perry",1105,-7.989,NA,NA,NA,NA,-5.147
"Alabama","Pickens",1107,-1.297,NA,1.05,-5.25,NA,NA
"Alabama","Pike",1109,-10.593,NA,-0.354,1.157,NA,-0.38
"Alabama","Randolph",1111,-5.815,NA,5.896,-2.332,NA,NA
"Alabama","Russell",1113,1.398,NA,-0.696,0.958,NA,2.522
"Alabama","Shelby",1117,-1.998,4.659,-0.204,0.678,NA,1.504
"Alabama","St. Clair",1115,-5.638,NA,0.253,4.305,2.12,0.909
"Alabama","Sumter",1119,-3.454,NA,6.859,3.293,NA,NA
"Alabama","Talladega",1121,-12.751,-10.5,-0.197,2.591,0.966,2.365
"Alabama","Tallapoosa",1123,-1.274,NA,1.259,7.966,NA,-0.636
"Alabama","Tuscaloosa",1125,-3.474,6.257,-0.496,4.47,4.842,1.081
"Alabama","Walker",1127,-5.203,NA,0.631,0.29,7.853,5.708
"Alabama","Washington",1129,1.274,NA,NA,NA,NA,-4.093
"Alabama","Wilcox",1131,-11.961,NA,NA,NA,NA,-2.074
"Alabama","Winston",1133,0.95,NA,NA,-5.616,NA,-0.63
"Alaska","Anchorage",2020,-1.849,-5.512,0.748,-1.881,1.982,3.936
"Alaska","Bethel",2050,-12.247,NA,NA,NA,NA,5.798
"Alaska","Fairbanks North Star",2090,-1.707,NA,-1.245,6.591,17,9.672
"Alaska","Juneau",2110,-4.143,NA,-1.143,2.042,15.387,3.67
"Alaska","Kenai Peninsula Borough",2122,-8.811,NA,1.033,-8.809,NA,2.007
"Alaska","Ketchikan Gateway",2130,NA,NA,7.143,3.332,NA,NA
"Alaska","Kodiak Island",2150,NA,NA,NA,2.439,NA,7.813
"Alaska","Matanuska-Susitna",2170,0.193,NA,0.023,-4.369,NA,1.262
"Alaska","North Slope",2185,NA,NA,NA,NA,NA,1.513
"Alaska","Sitka",2220,NA,NA,NA,NA,NA,NA
"Alaska","Southeast Fairbanks",2240,NA,NA,NA,NA,NA,NA
"Alaska","Valdez-Cordova",2261,NA,NA,NA,NA,NA,9.999
"Arizona","Apache",4001,0.766,15.714,-0.781,14.541,36.115,0.236
"Arizona","Cochise",4003,-0.885,7.209,0.124,-0.34,-5,6.47
"Arizona","Coconino",4005,7.716,29.843,-1.628,6.523,7.846,3.736
"Arizona","Gila",4007,19.836,29.727,0.479,1.08,NA,-5.053
"Arizona","Graham",4009,11.765,NA,1.154,-1.954,NA,-2.797
"Arizona","Greenlee",4011,-1.407,NA,NA,NA,NA,5.001
"Arizona","La Paz",4012,-14.566,-16.664,NA,-11.481,-10.497,-0.003
"Arizona","Maricopa",4013,-0.175,11.492,-0.058,3.15,6.476,2.239
"Arizona","Mohave",4015,-1.478,16.091,-0.616,0.619,7.344,2.933
"Arizona","Navajo",4017,1.574,8.87,-0.009,3.665,7.663,-2.322
"Arizona","Pima",4019,2.746,3.528,3.35,-2.41,-4.122,-15.07
"Arizona","Pinal",4021,-5.84,0.482,0.306,7.652,10.378,-0.028
"Arizona","Santa Cruz",4023,-2.996,12.166,0.925,-0.851,7.272,-0.656
"Arizona","Yavapai",4025,11.596,20.602,-0.363,3.069,13.268,1.426
"Arizona","Yuma",4027,2.359,40.672,-0.563,3.817,4.656,1.295
"Arkansas","Arkansas",5001,-7,NA,NA,-9.774,NA,-1.626
"Arkansas","Ashley",5003,-6.605,NA,NA,-12.683,NA,0.911
"Arkansas","Baxter",5005,-3.015,NA,0.636,7.604,NA,5.266
"Arkansas","Benton",5007,6.052,56.99,-2.377,8.271,9.829,5.313
"Arkansas","Boone",5009,7.111,NA,-0.251,11.445,NA,2.803
"Arkansas","Bradley",5011,-3.39,NA,NA,7.793,NA,-4.999
"Arkansas","Carroll",5015,5.442,NA,NA,17.493,NA,5.531
"Arkansas","Chicot",5017,2.041,NA,NA,16.95,NA,5.458
"Arkansas","Clark",5019,-1.205,NA,NA,2.638,3.362,0.69
"Arkansas","Clay",5021,NA,NA,NA,-2.48,NA,8.794
"Arkansas","Cleburne",5023,15.238,NA,NA,4.396,NA,2.396
"Arkansas","Cleveland",5025,NA,NA,NA,NA,NA,NA
"Arkansas","Columbia",5027,-22.413,NA,NA,6.115,NA,-0.001
"Arkansas","Conway",5029,5.935,NA,7.352,4.006,NA,9.639
"Arkansas","Craighead",5031,2.647,NA,-0.36,1.426,17.393,-0.607
"Arkansas","Crawford",5033,2.845,NA,0.419,2.596,-1.587,1.444
"Arkansas","Crittenden",5035,1.005,NA,-0.186,8.116,4.133,1.455
"Arkansas","Cross",5037,14.924,NA,8.034,0.853,NA,NA
"Arkansas","Dallas",5039,NA,NA,NA,1.076,NA,NA
"Arkansas","Desha",5041,-7.147,NA,0,1.456,NA,NA
"Arkansas","Drew",5043,4.478,NA,NA,-8.879,NA,-4.671
"Arkansas","Faulkner",5045,-1.784,NA,-0.978,3.086,NA,3.699
"Arkansas","Franklin",5047,-1.19,NA,NA,0.634,-4.758,5.088
"Arkansas","Fulton",5049,NA,NA,4.224,NA,NA,NA
"Arkansas","Garland",5051,0.761,23.338,0.109,4.74,NA,0.112
"Arkansas","Grant",5053,-8.16,NA,0.003,-2.697,NA,NA
"Arkansas","Greene",5055,0.957,NA,0.781,0.796,NA,1.776
"Arkansas","Hempstead",5057,-7.039,NA,0.649,-0.957,NA,NA
"Arkansas","Hot Spring",5059,3.485,NA,-0.325,5.328,-54.545,0.005
"Arkansas","Howard",5061,-4.758,NA,NA,4.838,NA,0.998
"Arkansas","Independence",5063,8.922,NA,0.75,2.562,NA,1.762
"Arkansas","Izard",5065,-1.755,NA,NA,0.001,NA,-4.4
"Arkansas","Jackson",5067,-1.724,NA,NA,-3.827,NA,9.892
"Arkansas","Jefferson",5069,-1.573,NA,0.21,2.058,4.803,1.142
"Arkansas","Johnson",5071,-9.323,NA,NA,0.277,NA,0.001
"Arkansas","Lawrence",5075,1.024,NA,NA,0.615,NA,-5.672
"Arkansas","Lincoln",5079,-4.253,NA,NA,NA,NA,8.93
"Arkansas","Little River",5081,2.635,NA,NA,-2.223,NA,-3.908
"Arkansas","Logan",5083,-9.265,NA,NA,2.026,NA,1.9
"Arkansas","Lonoke",5085,-0.529,NA,-0.237,4.484,NA,0.15
"Arkansas","Madison",5087,18.826,NA,NA,12.78,NA,5.983
"Arkansas","Marion",5089,-7.998,NA,NA,1.47,NA,6.455
"Arkansas","Miller",5091,-1.424,NA,0.783,1.648,6.625,-1.209
"Arkansas","Mississippi",5093,-4.026,NA,1.175,1.745,3.867,-0.75
"Arkansas","Monroe",5095,-6.076,NA,NA,-16.664,NA,NA
"Arkansas","Montgomery",5097,NA,NA,NA,NA,NA,NA
"Arkansas","Nevada",5099,NA,NA,NA,4.361,-2.128,3.424
"Arkansas","Newton",5101,NA,NA,NA,NA,NA,NA
"Arkansas","Ouachita",5103,-22.816,NA,NA,1.605,NA,0.65
"Arkansas","Perry",5105,NA,NA,9.549,NA,NA,NA
"Arkansas","Phillips",5107,-11.228,NA,NA,-4.944,NA,-2.951
"Arkansas","Pike",5109,-2.154,NA,8.183,7.199,NA,NA
"Arkansas","Poinsett",5111,-7.48,NA,NA,2.205,NA,-4.055
"Arkansas","Polk",5113,-7.146,NA,-2.149,10.418,NA,NA
"Arkansas","Pope",5115,-3.424,NA,-0.005,4.302,7.907,-1.706
"Arkansas","Prairie",5117,NA,NA,-0.024,NA,NA,NA
"Arkansas","Pulaski",5119,-0.052,12.327,0.624,5.055,2.131,-1.039
"Arkansas","Randolph",5121,9.145,NA,-0.84,-7.381,NA,NA
"Arkansas","Saline",5125,-6.409,14.581,-0.293,5.137,14.528,1.093
"Arkansas","Scott",5127,NA,NA,3.11,1.365,NA,NA
"Arkansas","Searcy",5129,NA,NA,NA,NA,NA,-2.284
"Arkansas","Sebastian",5131,5.309,8.437,-0.425,3.095,1.966,0.688
"Arkansas","Sevier",5133,-2.818,NA,NA,-1.885,NA,0.856
"Arkansas","Sharp",5135,-4.592,NA,NA,9.607,NA,3.508
"Arkansas","St. Francis",5123,-7.15,NA,NA,-3.199,-5.455,2.711
"Arkansas","Stone",5137,-32.658,NA,NA,1.564,NA,4.594
"Arkansas","Union",5139,-4.258,NA,1.474,-0.79,NA,3.549
"Arkansas","Van Buren",5141,NA,NA,NA,9.041,NA,6.358
"Arkansas","Washington",5143,0.645,52.197,-2.265,5.617,6.189,2.994
"Arkansas","White",5145,-4.604,NA,-0.538,2.498,17.02,3.307
"Arkansas","Yell",5149,5.001,NA,NA,5.506,NA,-0.676
"California","Alameda",6001,0.891,8.007,0.139,0.898,-1.009,3.117
