"state","county","Grocery & pharmacy","Parks","Residential","Retail & recreation","Transit stations","Workplace"
"Alabama","Autauga",9.741,NA,NA,21.473,NA,5.205
"Alabama","Baldwin",17.016,109.237,-2.685,17.832,15.664,9.072
"Alabama","Barbour",-3.497,NA,NA,11.773,NA,-0.003
"Alabama","Bibb",3.176,NA,NA,22.579,NA,6.453
"Alabama","Blount",14.575,NA,NA,18.765,NA,7.647
"Alabama","Bullock",11.323,NA,NA,NA,NA,NA
"Alabama","Butler",0.806,NA,NA,15.517,NA,-0.001
"Alabama","Calhoun",7.891,NA,-2.599,17.636,NA,4.739
"Alabama","Chambers",9.787,NA,NA,14.311,NA,5.387
"Alabama","Cherokee",19.446,NA,NA,16.318,NA,1.255
"Alabama","Chilton",19.047,NA,NA,21.113,32.743,9.868
"Alabama","Choctaw",4.284,NA,NA,NA,NA,NA
"Alabama","Clarke",-3.667,NA,NA,19.575,NA,5.659
"Alabama","Clay",6.775,NA,NA,13.332,NA,NA
"Alabama","Cleburne",14.925,NA,NA,NA,NA,NA
"Alabama","Coffee",18.641,NA,NA,26.651,NA,5.444
"Alabama","Colbert",11.375,NA,NA,23.223,38.664,4.277
"Alabama","Conecuh",-1.619,NA,NA,29.846,25.983,NA
"Alabama","Coosa",NA,NA,NA,NA,NA,NA
"Alabama","Covington",11.524,NA,NA,26.08,NA,5.45
"Alabama","Crenshaw",1.331,NA,NA,52.502,NA,NA
"Alabama","Cullman",12.792,65.521,-2.095,14.722,30.204,3.859
"Alabama","Dale",1.837,NA,NA,17.712,NA,4.372
"Alabama","Dallas",NA,NA,NA,16.595,5.049,51.953
"Alabama","DeKalb",8.13,NA,-3.553,18.233,NA,7.244
"Alabama","Elmore",7.576,NA,-2.8,21.676,NA,4.331
"Alabama","Escambia",12.438,NA,NA,19.452,NA,0.868
"Alabama","Etowah",11.356,NA,-3.463,19.492,8.337,4.032
"Alabama","Fayette",NA,NA,NA,13.446,NA,NA
"Alabama","Franklin",-0.607,NA,NA,18.231,NA,3.537
"Alabama","Geneva",3.428,NA,NA,12.931,NA,5.375
"Alabama","Greene",6.15,NA,NA,37.73,5.196,NA
"Alabama","Hale",7.594,NA,NA,NA,NA,NA
"Alabama","Henry",10.714,NA,NA,0.977,NA,-5.776
"Alabama","Houston",11.993,NA,-3.208,19.194,29.231,1.692
"Alabama","Jackson",11.111,NA,NA,20.029,NA,3.355
"Alabama","Jefferson",8.695,92.375,-3.32,14.087,7.393,6.979
"Alabama","Lamar",-2.7,NA,NA,NA,NA,NA
"Alabama","Lauderdale",11.106,NA,-3.296,18.241,NA,4.49
"Alabama","Lawrence",10.714,NA,NA,15.427,NA,6.025
"Alabama","Lee",11.598,NA,-3.209,16.651,NA,6.602
