"","country_region_code","country_region","state","county","date","retail_and_recreation_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline","parks_percent_change_from_baseline","transit_stations_percent_change_from_baseline","workplaces_percent_change_from_baseline","residential_percent_change_from_baseline","fips"
"67299","US","United States","Alabama","Baldwin","2020-03-21",-39,2,-25,-11,-15,9,1003
"68419","US","United States","Alabama","Cullman","2020-03-21",-32,10,41,4,-14,9,1043
"69159","US","United States","Alabama","Houston","2020-03-21",-41,-1,14,-20,-17,7,1069
"69273","US","United States","Alabama","Jefferson","2020-03-21",-44,2,22,-28,-23,11,1073
"69728","US","United States","Alabama","Madison","2020-03-21",-44,2,24,-26,-20,10,1089
"69956","US","United States","Alabama","Mobile","2020-03-21",-31,11,-26,-17,-14,9,1097
"70070","US","United States","Alabama","Montgomery","2020-03-21",-34,3,-5,3,-20,8,1101
"70127","US","United States","Alabama","Morgan","2020-03-21",-34,15,12,-12,-13,8,1103
"70625","US","United States","Alabama","Talladega","2020-03-21",-24,10,52,-12,-14,6,1121
"70739","US","United States","Alabama","Tuscaloosa","2020-03-21",-38,2,-2,-14,-23,9,1125
"71067","US","United States","Alaska","Anchorage","2020-03-21",-37,5,-10,-22,-26,10,2020
"71728","US","United States","Arizona","Cochise","2020-03-21",-31,-2,-13,-6,-17,7,4003
"71785","US","United States","Arizona","Coconino","2020-03-21",-49,-11,-27,-17,-24,11,4005
"72069","US","United States","Arizona","Maricopa","2020-03-21",-37,-2,-10,-29,-23,10,4013
"72126","US","United States","Arizona","Mohave","2020-03-21",-27,6,-22,-10,-22,7,4015
"72183","US","United States","Arizona","Navajo","2020-03-21",-28,10,15,17,-18,7,4017
"72240","US","United States","Arizona","Pima","2020-03-21",-39,0,-16,-31,-24,10,4019
"72297","US","United States","Arizona","Pinal","2020-03-21",-25,-9,-5,-20,-21,9,4021
"72411","US","United States","Arizona","Yavapai","2020-03-21",-37,6,-9,-13,-23,8,4025
"72468","US","United States","Arizona","Yuma","2020-03-21",-37,-2,-28,-33,-18,10,4027
"72753","US","United States","Arkansas","Benton","2020-03-21",-40,-2,58,-39,-19,9,5007
"75595","US","United States","Arkansas","Pulaski","2020-03-21",-38,1,5,-28,-17,9,5119
"75709","US","United States","Arkansas","Saline","2020-03-21",-33,-9,-36,7,-17,9,5125
"76246","US","United States","Arkansas","Washington","2020-03-21",-42,-6,40,-20,-22,9,5143
"76303","US","United States","Arkansas","White","2020-03-21",-34,10,-11,-7,-10,6,5145
"76474","US","United States","California","Alameda","2020-03-21",-58,-18,-10,-60,-39,18,6001
"76588","US","United States","California","Butte","2020-03-21",-38,-3,-10,-37,-24,9,6007
"76759","US","United States","California","Contra Costa","2020-03-21",-46,-9,7,-50,-36,16,6013
"76930","US","United States","California","Fresno","2020-03-21",-43,-10,-46,-38,-25,13,6019
"77044","US","United States","California","Humboldt","2020-03-21",-49,-17,21,-58,-32,11,6023
"77101","US","United States","California","Imperial","2020-03-21",-48,-15,-61,-50,-20,16,6025
"77215","US","United States","California","Kern","2020-03-21",-40,-5,-19,-24,-21,11,6029
"77272","US","United States","California","Kings","2020-03-21",-37,-5,-39,-48,-20,11,6031
"77443","US","United States","California","Los Angeles","2020-03-21",-48,-13,-28,-46,-34,18,6037
"77500","US","United States","California","Madera","2020-03-21",-34,-16,-17,-10,-24,13,6039
"77557","US","United States","California","Marin","2020-03-21",-54,-12,3,-49,-41,17,6041
"77671","US","United States","California","Mendocino","2020-03-21",-43,-20,-3,-27,-27,11,6045
"77728","US","United States","California","Merced","2020-03-21",-38,-13,-21,-26,-21,12,6047
"77882","US","United States","California","Monterey","2020-03-21",-49,-17,-51,-42,-32,15,6053
"77939","US","United States","California","Napa","2020-03-21",-50,-29,24,-34,-43,15,6055
"77996","US","United States","California","Nevada","2020-03-21",-54,-21,-40,-65,-34,12,6057
"78053","US","United States","California","Orange","2020-03-21",-50,-12,-12,-45,-36,18,6059
"78110","US","United States","California","Placer","2020-03-21",-53,-16,8,-47,-34,13,6061
"78224","US","United States","California","Riverside","2020-03-21",-42,-9,-38,-35,-31,15,6065
"78281","US","United States","California","Sacramento","2020-03-21",-48,-13,-13,-47,-32,13,6067
"78395","US","United States","California","San Bernardino","2020-03-21",-42,-8,-28,-36,-25,14,6071
"78452","US","United States","California","San Diego","2020-03-21",-49,-15,-28,-55,-36,17,6073
"78509","US","United States","California","San Francisco","2020-03-21",-73,-22,-38,-65,-49,20,6075
"78566","US","United States","California","San Joaquin","2020-03-21",-41,-7,-11,-24,-24,13,6077
"78623","US","United States","California","San Luis Obispo","2020-03-21",-57,-23,-31,-53,-37,14,6079
"78680","US","United States","California","San Mateo","2020-03-21",-57,-16,14,-68,-41,20,6081
"78737","US","United States","California","Santa Barbara","2020-03-21",-50,-13,-26,-46,-31,13,6083
"78794","US","United States","California","Santa Clara","2020-03-21",-61,-25,-15,-62,-45,19,6085
"78851","US","United States","California","Santa Cruz","2020-03-21",-55,-19,-20,-55,-35,15,6087
"78908","US","United States","California","Shasta","2020-03-21",-37,-2,32,-13,-19,8,6089
"79022","US","United States","California","Solano","2020-03-21",-43,-8,2,-30,-28,13,6095
"79079","US","United States","California","Sonoma","2020-03-21",-48,-12,19,-42,-35,13,6097
"79136","US","United States","California","Stanislaus","2020-03-21",-44,-12,-19,-26,-24,12,6099
"79363","US","United States","California","Tulare","2020-03-21",-40,-5,-33,-28,-18,10,6107
"79477","US","United States","California","Ventura","2020-03-21",-43,-13,-7,-38,-29,15,6111
"79534","US","United States","California","Yolo","2020-03-21",-44,-15,6,-23,-31,14,6113
"79705","US","United States","Colorado","Adams","2020-03-21",-39,-2,-29,-26,-26,13,8001
"79819","US","United States","Colorado","Arapahoe","2020-03-21",-41,-7,-23,-33,-29,14,8005
"79936","US","United States","Colorado","Boulder","2020-03-21",-49,-7,-14,-42,-36,15,8013
"80258","US","United States","Colorado","Denver","2020-03-21",-56,0,-28,-56,-34,15,8031
"80315","US","United States","Colorado","Douglas","2020-03-21",-46,-11,-34,-45,-31,14,8035
"80429","US","United States","Colorado","El Paso","2020-03-21",-36,0,-17,-38,-27,11,8041
"80867","US","United States","Colorado","Jefferson","2020-03-21",-43,-15,-25,-34,-32,14,8059
"81096","US","United States","Colorado","Larimer","2020-03-21",-47,-5,-14,-35,-29,13,8069
"81324","US","United States","Colorado","Mesa","2020-03-21",-36,1,68,-19,-25,8,8077
"81843","US","United States","Colorado","Pueblo","2020-03-21",-36,8,-54,-8,-16,9,8101
"82217","US","United States","Colorado","Weld","2020-03-21",-34,0,-10,-17,-21,12,8123
"82387","US","United States","Connecticut","Fairfield","2020-03-21",-43,0,88,-47,-28,13,9001
"82444","US","United States","Connecticut","Hartford","2020-03-21",-40,1,120,-36,-25,11,9003
"82558","US","United States","Connecticut","Middlesex","2020-03-21",-38,-1,154,-45,-26,12,9007
"82615","US","United States","Connecticut","New Haven","2020-03-21",-37,2,66,-32,-24,11,9009
"82672","US","United States","Connecticut","New London","2020-03-21",-43,2,94,-41,-31,12,9011
"82786","US","United States","Connecticut","Windham","2020-03-21",-25,5,24,-45,-20,10,9015
"82900","US","United States","Delaware","Kent","2020-03-21",-33,-6,4,-17,-18,10,10001
"82957","US","United States","Delaware","New Castle","2020-03-21",-35,-9,78,-40,-25,11,10003
"83014","US","United States","Delaware","Sussex","2020-03-21",-34,5,-6,-32,-16,10,10005
"83185","US","United States","Florida","Alachua","2020-03-21",-42,-2,-31,-26,-20,10,12001
"83299","US","United States","Florida","Bay","2020-03-21",-29,4,3,-23,-11,7,12005
"83413","US","United States","Florida","Brevard","2020-03-21",-37,-3,-20,-26,-25,9,12009
"83470","US","United States","Florida","Broward","2020-03-21",-41,-6,-46,-55,-28,15,12011
"83583","US","United States","Florida","Charlotte","2020-03-21",-40,2,-6,-21,-26,9,12015
"83754","US","United States","Florida","Collier","2020-03-21",-42,-2,-47,-35,-31,12,12021
"83811","US","United States","Florida","Columbia","2020-03-21",-29,8,-7,13,-10,7,12023
"83982","US","United States","Florida","Duval","2020-03-21",-32,5,-22,-23,-18,9,12031
"84039","US","United States","Florida","Escambia","2020-03-21",-35,3,-14,-18,-16,8,12033
"84609","US","United States","Florida","Hernando","2020-03-21",-30,3,-21,-20,-20,8,12053
"84723","US","United States","Florida","Hillsborough","2020-03-21",-40,1,-32,-44,-24,11,12057
"84837","US","United States","Florida","Indian River","2020-03-21",-38,-8,-14,-37,-28,10,12061
"85044","US","United States","Florida","Lake","2020-03-21",-33,-3,-19,-46,-25,10,12069
"85101","US","United States","Florida","Lee","2020-03-21",-42,-4,-39,-41,-26,10,12071
"85158","US","United States","Florida","Leon","2020-03-21",-40,-4,-21,-35,-22,10,12073
"85370","US","United States","Florida","Manatee","2020-03-21",-38,0,-25,-27,-22,10,12081
"85427","US","United States","Florida","Marion","2020-03-21",-31,0,-16,-2,-19,7,12083
"85484","US","United States","Florida","Martin","2020-03-21",-41,1,0,-37,-23,10,12085
"85541","US","United States","Florida","Miami-Dade","2020-03-21",-45,-7,-69,-51,-32,16,12086
"85598","US","United States","Florida","Monroe","2020-03-21",-56,-12,-59,-47,-34,11,12087
"85655","US","United States","Florida","Nassau","2020-03-21",-28,0,31,-45,-19,7,12089
"85712","US","United States","Florida","Okaloosa","2020-03-21",-34,-1,-28,-18,-16,9,12091
"85826","US","United States","Florida","Orange","2020-03-21",-55,-14,-39,-59,-34,13,12095
"85883","US","United States","Florida","Osceola","2020-03-21",-45,-11,-22,-44,-34,14,12097
"85940","US","United States","Florida","Palm Beach","2020-03-21",-39,-2,-38,-43,-26,13,12099
"85997","US","United States","Florida","Pasco","2020-03-21",-32,-1,-18,-8,-21,9,12101
"86054","US","United States","Florida","Pinellas","2020-03-21",-40,-2,-24,-27,-25,11,12103
"86111","US","United States","Florida","Polk","2020-03-21",-32,-1,-18,-20,-21,10,12105
"86282","US","United States","Florida","Sarasota","2020-03-21",-44,-10,-51,-24,-27,11,12115
"86339","US","United States","Florida","Seminole","2020-03-21",-40,1,-17,-48,-26,11,12117
"86396","US","United States","Florida","St. Johns","2020-03-21",-40,0,-39,-8,-29,10,12109
"86453","US","United States","Florida","St. Lucie","2020-03-21",-29,11,16,-32,-19,10,12111
"86510","US","United States","Florida","Sumter","2020-03-21",-43,5,-26,1,-27,8,12119
"86737","US","United States","Florida","Volusia","2020-03-21",-33,-1,-1,-25,-23,8,12127
"86851","US","United States","Florida","Walton","2020-03-21",-40,-2,-32,-11,-12,7,12131
"87360","US","United States","Georgia","Bartow","2020-03-21",-38,11,136,5,-15,8,13015
"87531","US","United States","Georgia","Bibb","2020-03-21",-31,6,38,8,-13,6,13021
"88099","US","United States","Georgia","Carroll","2020-03-21",-24,11,14,-4,-11,7,13045
"88269","US","United States","Georgia","Chatham","2020-03-21",-40,-9,-14,-20,-24,8,13051
