"country_region_code","country_region","state","county","date","retail_and_recreation_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline","parks_percent_change_from_baseline","transit_stations_percent_change_from_baseline","workplaces_percent_change_from_baseline","residential_percent_change_from_baseline","fips"
"US","United States","Alabama","Autauga","2020-03-25",-20,5,NA,NA,-37,13,1001
"US","United States","Alabama","Baldwin","2020-03-25",-34,-8,-13,-9,-30,11,1003
"US","United States","Alabama","Barbour","2020-03-25",-10,-14,NA,NA,-21,NA,1005
"US","United States","Alabama","Bibb","2020-03-25",-9,2,NA,NA,-31,NA,1007
"US","United States","Alabama","Blount","2020-03-25",-24,-5,NA,NA,-34,13,1009
"US","United States","Alabama","Bullock","2020-03-25",NA,-2,NA,NA,-25,NA,1011
"US","United States","Alabama","Butler","2020-03-25",-10,2,NA,NA,-27,NA,1013
"US","United States","Alabama","Calhoun","2020-03-25",-26,-7,NA,NA,-33,11,1015
"US","United States","Alabama","Chambers","2020-03-25",-25,4,NA,NA,-26,10,1017
"US","United States","Alabama","Cherokee","2020-03-25",-23,-5,NA,NA,-33,NA,1019
"US","United States","Alabama","Chilton","2020-03-25",-29,0,NA,-2,-33,11,1021
"US","United States","Alabama","Choctaw","2020-03-25",NA,-10,NA,NA,-23,NA,1023
"US","United States","Alabama","Clarke","2020-03-25",-13,-3,NA,NA,-26,NA,1025
"US","United States","Alabama","Clay","2020-03-25",-21,-2,NA,NA,-19,NA,1027
"US","United States","Alabama","Cleburne","2020-03-25",-35,0,NA,-13,-22,NA,1029
"US","United States","Alabama","Coffee","2020-03-25",-10,0,NA,NA,-26,9,1031
"US","United States","Alabama","Colbert","2020-03-25",-27,0,NA,1,-29,11,1033
"US","United States","Alabama","Conecuh","2020-03-25",-44,18,NA,-6,-15,NA,1035
"US","United States","Alabama","Coosa","2020-03-25",NA,NA,NA,NA,-23,NA,1037
"US","United States","Alabama","Covington","2020-03-25",-21,5,NA,NA,-25,7,1039
"US","United States","Alabama","Crenshaw","2020-03-25",-29,-8,NA,NA,-37,NA,1041
"US","United States","Alabama","Cullman","2020-03-25",-23,1,NA,-15,-29,11,1043
"US","United States","Alabama","Dale","2020-03-25",-24,3,NA,-10,-27,11,1045
"US","United States","Alabama","Dallas","2020-03-25",-11,1,NA,NA,-28,NA,1047
"US","United States","Alabama","DeKalb","2020-03-25",-28,-6,NA,NA,-25,8,1049
"US","United States","Alabama","Elmore","2020-03-25",-22,1,NA,NA,-38,14,1051
"US","United States","Alabama","Escambia","2020-03-25",-14,0,NA,NA,-27,NA,1053
