ProvinceState,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
"Westchester County, NY",US,2020-03-09T17:13:16,98,0,0,41.122,-73.7949
"King County, WA",US,2020-03-08T20:23:09,83,17,1,47.548,-121.9836
Unassigned Location (From Diamond Princess),US,2020-03-02T19:53:03,45,0,0,35.4437,139.638
"Santa Clara County, CA",US,2020-03-08T21:23:03,38,0,1,37.3541,-121.9552
"Snohomish County, WA",US,2020-03-08T21:43:03,31,1,0,48.033,-121.8339
Grand Princess Cruise Ship,US,2020-03-07T01:33:02,21,0,0,37.6489,-122.6655
"New York County, NY",US,2020-03-09T17:13:16,19,0,0,40.7128,-74.006
"Nassau County, NY",US,2020-03-09T17:13:14,17,0,0,40.6546,-73.5594
"Los Angeles, CA",US,2020-03-08T01:13:48,14,0,0,34.0522,-118.2437
"Contra Costa County, CA",US,2020-03-08T21:43:03,12,0,0,37.8534,-121.9018
"San Francisco County, CA",US,2020-03-08T01:23:12,9,0,0,37.7749,-122.4194
"Suffolk County, MA",US,2020-03-08T21:13:14,8,0,1,42.3601,-71.0589
"Washington County, OR",US,2020-03-08T19:43:03,8,0,0,45.547,-123.1386
"Cook County, IL",US,2020-03-08T20:23:09,7,0,2,41.7377,-87.6976
"Middlesex County, MA",US,2020-03-08T21:13:12,7,0,0,42.4672,-71.2874
"Placer County, CA",US,2020-03-09T08:23:03,7,1,0,39.0916,-120.8039
"Fort Bend County, TX",US,2020-03-08T17:33:03,6,0,0,29.5693,-95.8143
"Harris County, TX",US,2020-03-09T09:13:19,6,0,0,29.7752,-95.3103
"Norfolk County, MA",US,2020-03-08T21:13:14,6,0,0,42.1767,-71.1449
"Fulton County, GA",US,2020-03-09T18:53:13,5,0,0,33.8034,-84.3963
"Montgomery County, PA",US,2020-03-09T18:33:03,5,0,0,40.229,-75.3879
"Unassigned Location, WA",US,2020-03-06T00:33:03,5,0,0,47.7511,-120.7401
"Bergen County, NJ",US,2020-03-08T21:23:03,4,0,0,40.9263,-74.077
"Grafton County, NH",US,2020-03-08T17:53:03,4,0,0,43.9088,-71.826
"Kershaw County, SC",US,2020-03-09T00:03:07,4,0,0,34.3672,-80.5883
"Montgomery County, MD",US,2020-03-08T21:53:04,4,0,0,39.1547,-77.2405
"Orange County, CA",US,2020-03-09T00:23:10,4,0,0,33.7879,-117.8531
"Pierce County, WA",US,2020-03-08T21:43:03,4,0,0,47.0676,-122.1295
"Rockland County, NY",US,2020-03-09T17:33:13,4,0,0,41.1489,-73.983
"Broward County, FL",US,2020-03-09T08:53:03,3,0,0,26.1901,-80.3659
"Cobb County, GA",US,2020-03-09T03:53:03,3,0,0,33.8999,-84.5641
"Douglas County, CO",US,2020-03-07T01:53:03,3,0,0,39.2587,-104.9389
"Douglas County, NE",US,2020-03-09T00:53:03,3,0,0,41.3148,-96.1951
"Johnson County, IA",US,2020-03-09T08:43:03,3,0,0,41.6699,-91.5984
"Maricopa County, AZ",US,2020-03-07T19:53:02,3,0,1,33.2918,-112.4291
"Providence County, RI",US,2020-03-07T02:23:08,3,0,0,41.8882,-71.4774
"San Diego County, CA",US,2020-03-05T20:33:03,3,0,1,32.7157,-117.1611
"Sonoma County, CA",US,2020-03-09T12:03:07,3,0,0,38.578,-122.9888
"Alameda County, CA",US,2020-03-07T13:13:14,2,0,0,37.6017,-121.7195
"Clark County, NV",US,2020-03-08T21:43:03,2,0,0,36.0796,-115.094
"Denver County, CO",US,2020-03-06T23:33:02,2,0,0,39.7392,-104.9903
"Fairfax County, VA",US,2020-03-08T21:33:02,2,0,0,38.9085,-77.2405
"Harrison County, KY",US,2020-03-09T08:43:03,2,0,0,38.4333,-84.3542
"Hendricks County, IN",US,2020-03-09T08:23:03,2,0,0,39.8065,-86.5401
"Hillsborough, FL",US,2020-03-03T18:33:02,2,0,0,27.9904,-82.3018
"Honolulu County, HI",US,2020-03-09T03:43:03,2,0,0,21.307,-157.8584
"Jackson County, OR ",US,2020-03-08T00:13:16,2,0,0,42.3345,-122.7647
"Lee County, FL",US,2020-03-08T15:33:04,2,1,0,26.663,-81.9535
"Manatee County, FL",US,2020-03-09T08:53:03,2,0,0,27.4799,-82.3452
"Pinal County, AZ",US,2020-03-07T17:13:23,2,0,0,32.8162,-111.2845
"Sacramento County, CA",US,2020-02-27T20:33:02,2,0,0,38.4747,-121.3542
"San Benito, CA",US,2020-02-03T03:53:02,2,0,0,36.5761,-120.9876
"San Mateo, CA",US,2020-03-03T00:43:02,2,0,0,37.563,-122.3255
"Saratoga County, NY",US,2020-03-07T18:23:05,2,0,0,43.0324,-73.936
"Summit County, CO",US,2020-03-06T01:29:39,2,0,0,39.5912,-106.064
"Washington, D.C.",US,2020-03-08T13:53:03,2,0,0,38.9072,-77.0369
"Washoe County, NV",US,2020-03-08T21:43:03,2,0,0,40.5608,-119.6035
"Bennington County, VT",US,2020-03-09T08:53:03,1,0,0,43.0279,-73.135
"Berkshire County, MA",US,2020-03-08T00:43:03,1,0,0,42.3118,-73.1822
"Carver County, MN",US,2020-03-09T08:43:02,1,0,0,44.8254,-93.7842
"Charleston County, SC",US,2020-03-07T01:53:03,1,0,0,32.7957,-79.7848
"Charlotte County, FL",US,2020-03-09T08:53:03,1,0,0,26.8946,-81.9098
"Chatham County, NC",US,2020-03-06T16:13:15,1,0,0,35.7211,-79.1781
"Cherokee County, GA",US,2020-03-09T03:53:03,1,0,0,34.2515,-84.4803
"Clark County, WA",US,2020-03-07T20:03:07,1,0,0,45.7466,-122.5194
"Collin County, TX",US,2020-03-09T18:53:13,1,0,0,33.1795,-96.493
"Davidson County, TN",US,2020-03-08T18:03:06,1,0,0,36.1343,-86.822
"Davis County, UT",US,2020-03-07T04:43:02,1,0,0,40.9629,-112.0953
"Delaware County, PA",US,2020-03-06T15:33:03,1,0,0,39.9078,-75.3879
"Douglas County, OR",US,2020-03-08T19:53:03,1,0,0,43.1261,-123.2492
"El Paso County, CO",US,2020-03-07T01:13:21,1,0,0,38.9108,-104.4723
"Fairfield County, CT",US,2020-03-08T21:23:03,1,0,0,41.256,-73.3709
"Fayette County, KY",US,2020-03-06T23:23:03,1,0,0,38.0606,-84.4803
"Fresno County, CA",US,2020-03-08T04:23:15,1,0,0,36.9859,-119.2321
"Grant County, WA",US,2020-03-09T08:43:03,1,1,0,47.1981,-119.3732
"Harford County, MD",US,2020-03-08T21:53:03,1,0,0,39.5839,-76.3637
"Hudson County, NJ",US,2020-03-08T19:43:03,1,0,0,40.7453,-74.0535
"Humboldt County, CA",US,2020-02-21T05:13:09,1,0,0,40.745,-123.8695
"Jefferson County, KY",US,2020-03-09T00:23:10,1,0,0,38.1938,-85.6435
"Jefferson County, WA",US,2020-03-07T16:43:02,1,0,0,47.7425,-123.304
"Jefferson Parish, LA",US,2020-03-09T18:53:13,1,0,0,29.6499,-90.1121
"Johnson County, KS",US,2020-03-08T00:33:02,1,0,0,38.8454,-94.8521
"Kittitas County, WA",US,2020-03-08T00:43:03,1,0,0,47.175,-120.9319
"Klamath County, OR",US,2020-03-07T20:13:14,1,0,0,42.6953,-121.6142
"Madera County, CA",US,2020-03-07T20:13:14,1,0,0,37.2519,-119.6963
"Madison, WI",US,2020-03-03T15:53:03,1,0,1,43.0731,-89.4012
"Marion County, IN",US,2020-03-06T17:13:12,1,0,0,39.8362,-86.1752
"Marion County, OR",US,2020-03-08T19:43:03,1,0,0,44.8446,-122.5927
"Okaloosa County, FL",US,2020-03-08T03:03:08,1,0,0,30.5773,-86.6611
"Plymouth County, MA",US,2020-03-07T03:53:03,1,0,0,42.1615,-70.7928
"Polk County, GA",US,2020-03-08T04:13:22,1,0,0,34.0132,-85.1479
"Ramsey County, MN",US,2020-03-06T23:23:03,1,0,0,44.9964,-93.0616
"Riverside County, CA",US,2020-03-08T10:33:03,1,0,0,33.9533,-117.3961
"Rockingham County, NH",US,2020-03-09T22:43:25,1,0,0,42.9931,-71.0498
"San Antonio, TX",US,2020-02-13T18:53:02,1,0,0,29.4241,-98.4936
"Santa Rosa County, FL",US,2020-03-08T15:33:04,1,1,0,30.769,-86.9824
"Sarasota, FL",US,2020-03-02T03:23:06,1,0,0,27.3364,-82.5307
"Shasta County, CA",US,2020-03-09T03:43:03,1,0,0,40.7909,-121.8474
