fips,county_name,state_abbr,state_name,long_name,sumlev,region,division,state,county,crosswalk,region_name,division_name,id,County_Name,State_Name,Confirmed,New,Death,Fatality_Rate,Last_Update,Latitude,Longitude
53033,King County,WA,Washington,King County WA,50,4,9,53,33,4-9-53-33,West,Pacific,05000US53033,King,Washington,328,,32,0.0975610,2020-03-14 12:04 EDT,47.4901181,-121.8043324
53061,Snohomish County,WA,Washington,Snohomish County WA,50,4,9,53,61,4-9-53-61,West,Pacific,05000US53061,Snohomish,Washington,133,,4,0.0300752,2020-03-14 12:04 EDT,47.9124000,-122.0930600
53053,Pierce County,WA,Washington,Pierce County WA,50,4,9,53,53,4-9-53-53,West,Pacific,05000US53053,Pierce,Washington,19,,0,0.0000000,2020-03-14 12:04 EDT,47.0227081,-122.1014408
53011,Clark County,WA,Washington,Clark County WA,50,4,9,53,11,4-9-53-11,West,Pacific,05000US53011,Clark,Washington,3,,0,0.0000000,2020-03-14 12:04 EDT,45.7818733,-122.4812785
53037,Kittitas County,WA,Washington,Kittitas County WA,50,4,9,53,37,4-9-53-37,West,Pacific,05000US53037,Kittitas,Washington,3,,0,0.0000000,2020-03-14 12:04 EDT,46.9847200,-120.4175200
53035,Kitsap County,WA,Washington,Kitsap County WA,50,4,9,53,35,4-9-53-35,West,Pacific,05000US53035,Kitsap,Washington,3,,0,0.0000000,2020-03-14 12:04 EDT,47.4749622,-122.6085325
53057,Skagit County,WA,Washington,Skagit County WA,50,4,9,53,57,4-9-53-57,West,Pacific,05000US53057,Skagit,Washington,3,,0,0.0000000,2020-03-14 12:04 EDT,48.4793302,-121.7280802
53029,Island County,WA,Washington,Island County WA,50,4,9,53,29,4-9-53-29,West,Pacific,05000US53029,Island,Washington,3,,0,0.0000000,2020-03-14 12:04 EDT,48.1916094,-122.6650075
53073,Whatcom County,WA,Washington,Whatcom County WA,50,4,9,53,73,4-9-53-73,West,Pacific,05000US53073,Whatcom,Washington,2,,0,0.0000000,2020-03-14 12:04 EDT,48.8255970,-121.7174182
53077,Yakima County,WA,Washington,Yakima County WA,50,4,9,53,77,4-9-53-77,West,Pacific,05000US53077,Yakima,Washington,2,,0,0.0000000,2020-03-14 12:04 EDT,46.6044800,-120.5072100
53025,Grant County,WA,Washington,Grant County WA,50,4,9,53,25,4-9-53-25,West,Pacific,05000US53025,Grant,Washington,1,,1,1.0000000,2020-03-14 12:04 EDT,47.1988579,-119.4525987
53031,Jefferson County,WA,Washington,Jefferson County WA,50,4,9,53,31,4-9-53-31,West,Pacific,05000US53031,Jefferson,Washington,1,,0,0.0000000,2020-03-14 12:04 EDT,47.7481061,-123.6000095
53067,Thurston County,WA,Washington,Thurston County WA,50,4,9,53,67,4-9-53-67,West,Pacific,05000US53067,Thurston,Washington,1,,0,0.0000000,2020-03-14 12:04 EDT,46.9198058,-122.8298691
53027,Grays Harbor County,WA,Washington,Grays Harbor County WA,50,4,9,53,27,4-9-53-27,West,Pacific,05000US53027,Grays Harbor,Washington,1,,0,0.0000000,2020-03-14 12:04 EDT,47.1505523,-123.7737432
53013,Columbia County,WA,Washington,Columbia County WA,50,4,9,53,13,4-9-53-13,West,Pacific,05000US53013,Columbia,Washington,1,,0,0.0000000,2020-03-14 12:04 EDT,46.2975768,-117.9078634
36119,Westchester County,NY,New York,Westchester County NY,50,1,2,36,119,1-2-36-119,Northeast,Middle Atlantic,05000US36119,Westchester,New York,158,,0,0.0000000,2020-03-14 12:04 EDT,41.1631976,-73.7560629
36061,New York County,NY,New York,New York County NY,50,1,2,36,61,1-2-36-61,Northeast,Middle Atlantic,05000US36061,New York,New York,154,,1,0.0064935,2020-03-14 12:04 EDT,40.7145500,-74.0071400
36059,Nassau County,NY,New York,Nassau County NY,50,1,2,36,59,1-2-36-59,Northeast,Middle Atlantic,05000US36059,Nassau,New York,51,,0,0.0000000,2020-03-14 12:04 EDT,40.7416523,-73.5889962
36103,Suffolk County,NY,New York,Suffolk County NY,50,1,2,36,103,1-2-36-103,Northeast,Middle Atlantic,05000US36103,Suffolk,New York,28,,0,0.0000000,2020-03-14 12:04 EDT,40.8773281,-72.8589804
36087,Rockland County,NY,New York,Rockland County NY,50,1,2,36,87,1-2-36-87,Northeast,Middle Atlantic,05000US36087,Rockland,New York,9,,0,0.0000000,2020-03-14 12:04 EDT,41.1523740,-74.0240103
