GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,BLOCKA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,TTRACTA,TBLKGRPA,ANRCA,CBSAA,METDIVA,CSAA,NECTAA,NECTADIVA,CNECTAA,UAA,URBRURALA,CDA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,NAME,SABINSA,H7V001,H7W001,H7W002,H7W003,H7W004,H7W005,H7W006,H7X001,H7X002,H7X003,H7X004,H7X005,H7X006,H7X007,H7X008
"G0100010","2010","3","6","Alabama","01","Autauga County","001",,,,,,,,,,,,,,"33860","99999","388",,,,,,,,,,,,,,"Autauga County",,54571,54571,31650,31650,0,22921,0,54571,42855,9643,232,474,32,466,869
"G0100030","2010","3","6","Alabama","01","Baldwin County","003",,,,,,,,,,,,,,"19300","99999","380",,,,,,,,,,,,,,"Baldwin County",,182265,182265,105205,63649,41556,77060,0,182265,156153,17105,1216,1348,89,3631,2723
"G0100050","2010","3","6","Alabama","01","Barbour County","005",,,,,,,,,,,,,,"21640","99999","999",,,,,,,,,,,,,,"Barbour County",,27457,27457,8844,0,8844,18613,0,27457,13180,12875,114,107,29,894,258
"G0100070","2010","3","6","Alabama","01","Bibb County","007",,,,,,,,,,,,,,"13820","99999","142",,,,,,,,,,,,,,"Bibb County",,22915,22915,7252,0,7252,15663,0,22915,17381,5047,64,22,13,185,203
"G0100090","2010","3","6","Alabama","01","Blount County","009",,,,,,,,,,,,,,"13820","99999","142",,,,,,,,,,,,,,"Blount County",,57322,57322,5760,386,5374,51562,0,57322,53068,761,307,117,38,2347,684
"G0100110","2010","3","6","Alabama","01","Bullock County","011",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Bullock County",,10914,10914,5307,0,5307,5607,0,10914,2507,7666,23,20,43,569,86
"G0100130","2010","3","6","Alabama","01","Butler County","013",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Butler County",,20947,20947,6026,0,6026,14921,0,20947,11399,9095,60,177,7,48,161
"G0100150","2010","3","6","Alabama","01","Calhoun County","015",,,,,,,,,,,,,,"11500","99999","999",,,,,,,,,,,,,,"Calhoun County",,118572,118572,78617,74951,3666,39955,0,118572,88840,24382,540,845,96,1894,1975
"G0100170","2010","3","6","Alabama","01","Chambers County","017",,,,,,,,,,,,,,"46740","99999","122",,,,,,,,,,,,,,"Chambers County",,34215,34215,17399,0,17399,16816,0,34215,20112,13257,69,168,10,214,385
"G0100190","2010","3","6","Alabama","01","Cherokee County","019",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Cherokee County",,25989,25989,3707,0,3707,22282,0,25989,24081,1208,135,54,1,123,387
"G0100210","2010","3","6","Alabama","01","Chilton County","021",,,,,,,,,,,,,,"13820","99999","142",,,,,,,,,,,,,,"Chilton County",,43643,43643,5785,0,5785,37858,0,43643,36713,4230,155,130,55,1854,506
"G0100230","2010","3","6","Alabama","01","Choctaw County","023",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Choctaw County",,13859,13859,0,0,0,13859,0,13859,7731,6012,18,12,0,28,58
"G0100250","2010","3","6","Alabama","01","Clarke County","025",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Clarke County",,25833,25833,6205,0,6205,19628,0,25833,14070,11336,103,77,4,67,176
"G0100270","2010","3","6","Alabama","01","Clay County","027",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Clay County",,13932,13932,0,0,0,13932,0,13932,11380,2066,55,24,0,172,235
"G0100290","2010","3","6","Alabama","01","Cleburne County","029",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Cleburne County",,14972,14972,0,0,0,14972,0,14972,14079,498,51,23,10,151,160
"G0100310","2010","3","6","Alabama","01","Coffee County","031",,,,,,,,,,,,,,"21460","99999","222",,,,,,,,,,,,,,"Coffee County",,49948,49948,26375,0,26375,23573,0,49948,37330,8359,645,644,100,1623,1247
"G0100330","2010","3","6","Alabama","01","Colbert County","033",,,,,,,,,,,,,,"22520","99999","999",,,,,,,,,,,,,,"Colbert County",,54428,54428,30537,30066,471,23891,0,54428,43789,8768,267,229,20,510,845
"G0100350","2010","3","6","Alabama","01","Conecuh County","035",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Conecuh County",,13228,13228,2520,0,2520,10708,0,13228,6788,6149,44,17,1,97,132
"G0100370","2010","3","6","Alabama","01","Coosa County","037",,,,,,,,,,,,,,"10760","99999","388",,,,,,,,,,,,,,"Coosa County",,11539,11539,0,0,0,11539,0,11539,7648,3582,40,16,15,135,103
"G0100390","2010","3","6","Alabama","01","Covington County","039",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Covington County",,37765,37765,11461,0,11461,26304,0,37765,32022,4716,214,155,1,135,522
"G0100410","2010","3","6","Alabama","01","Crenshaw County","041",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Crenshaw County",,13906,13906,0,0,0,13906,0,13906,10097,3254,57,189,8,99,202
"G0100430","2010","3","6","Alabama","01","Cullman County","043",,,,,,,,,,,,,,"18980","99999","142",,,,,,,,,,,,,,"Cullman County",,80406,80406,21517,0,21517,58889,0,80406,76133,856,408,343,18,1759,889
"G0100450","2010","3","6","Alabama","01","Dale County","045",,,,,,,,,,,,,,"21460","99999","222",,,,,,,,,,,,,,"Dale County",,50251,50251,24679,2561,22118,25572,0,50251,37236,9679,371,534,44,882,1505
"G0100470","2010","3","6","Alabama","01","Dallas County","047",,,,,,,,,,,,,,"42820","99999","999",,,,,,,,,,,,,,"Dallas County",,43820,43820,23821,0,23821,19999,0,43820,12769,30423,85,149,11,84,299
"G0100490","2010","3","6","Alabama","01","DeKalb County","049",,,,,,,,,,,,,,"22840","99999","999",,,,,,,,,,,,,,"DeKalb County",,71109,71109,7018,0,7018,64091,0,71109,60087,1078,969,203,147,7051,1574
"G0100510","2010","3","6","Alabama","01","Elmore County","051",,,,,,,,,,,,,,"33860","99999","388",,,,,,,,,,,,,,"Elmore County",,79303,79303,36330,26957,9373,42973,0,79303,60455,15900,285,518,63,938,1144
"G0100530","2010","3","6","Alabama","01","Escambia County","053",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Escambia County",,38319,38319,13982,0,13982,24337,0,38319,23784,12220,1288,92,12,343,580
"G0100550","2010","3","6","Alabama","01","Etowah County","055",,,,,,,,,,,,,,"23460","99999","999",,,,,,,,,,,,,,"Etowah County",,104430,104430,65286,64141,1145,39144,0,104430,83823,15796,448,672,171,1975,1545
"G0100570","2010","3","6","Alabama","01","Fayette County","057",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Fayette County",,17241,17241,3408,0,3408,13833,0,17241,14910,1969,52,37,0,102,171
"G0100590","2010","3","6","Alabama","01","Franklin County","059",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Franklin County",,31704,31704,9395,0,9395,22309,0,31704,26320,1228,215,63,10,3338,530
"G0100610","2010","3","6","Alabama","01","Geneva County","061",,,,,,,,,,,,,,"20020","99999","222",,,,,,,,,,,,,,"Geneva County",,26790,26790,2775,121,2654,24015,0,26790,23127,2539,224,67,8,409,416
"G0100630","2010","3","6","Alabama","01","Greene County","063",,,,,,,,,,,,,,"46220","99999","999",,,,,,,,,,,,,,"Greene County",,9045,9045,0,0,0,9045,0,9045,1575,7370,17,15,0,25,43
"G0100650","2010","3","6","Alabama","01","Hale County","065",,,,,,,,,,,,,,"46220","99999","999",,,,,,,,,,,,,,"Hale County",,15760,15760,1707,0,1707,14053,0,15760,6266,9301,25,35,1,44,88
"G0100670","2010","3","6","Alabama","01","Henry County","067",,,,,,,,,,,,,,"20020","99999","222",,,,,,,,,,,,,,"Henry County",,17302,17302,2119,0,2119,15183,0,17302,11865,4942,57,54,2,206,176
"G0100690","2010","3","6","Alabama","01","Houston County","069",,,,,,,,,,,,,,"20020","99999","222",,,,,,,,,,,,,,"Houston County",,101547,101547,67220,66099,1121,34327,0,101547,71053,26176,446,820,49,1244,1759
"G0100710","2010","3","6","Alabama","01","Jackson County","071",,,,,,,,,,,,,,"42460","99999","999",,,,,,,,,,,,,,"Jackson County",,53227,53227,12233,0,12233,40994,0,53227,48348,1781,719,185,48,768,1378
"G0100730","2010","3","6","Alabama","01","Jefferson County","073",,,,,,,,,,,,,,"13820","99999","142",,,,,,,,,,,,,,"Jefferson County",,658466,658466,593714,592559,1155,64752,0,658466,349166,276525,1740,9158,244,14358,7275
"G0100750","2010","3","6","Alabama","01","Lamar County","075",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Lamar County",,14564,14564,0,0,0,14564,0,14564,12626,1643,24,4,2,82,183
"G0100770","2010","3","6","Alabama","01","Lauderdale County","077",,,,,,,,,,,,,,"22520","99999","999",,,,,,,,,,,,,,"Lauderdale County",,92709,92709,47008,47008,0,45701,0,92709,80112,9257,338,685,34,977,1306
"G0100790","2010","3","6","Alabama","01","Lawrence County","079",,,,,,,,,,,,,,"19460","99999","290",,,,,,,,,,,,,,"Lawrence County",,34339,34339,2991,72,2919,31348,0,34339,26647,3938,1953,42,6,275,1478
"G0100810","2010","3","6","Alabama","01","Lee County","081",,,,,,,,,,,,,,"12220","99999","194",,,,,,,,,,,,,,"Lee County",,140247,140247,101806,101806,0,38441,0,140247,100006,31901,445,3658,105,1873,2259
"G0100830","2010","3","6","Alabama","01","Limestone County","083",,,,,,,,,,,,,,"26620","99999","290",,,,,,,,,,,,,,"Limestone County",,82782,82782,35092,10136,24956,47690,0,82782,66506,10429,547,924,42,2866,1468
"G0100850","2010","3","6","Alabama","01","Lowndes County","085",,,,,,,,,,,,,,"33860","99999","388",,,,,,,,,,,,,,"Lowndes County",,11299,11299,0,0,0,11299,0,11299,2859,8310,25,14,0,31,60
"G0100870","2010","3","6","Alabama","01","Macon County","087",,,,,,,,,,,,,,"46260","99999","194",,,,,,,,,,,,,,"Macon County",,21452,21452,9536,0,9536,11916,0,21452,3319,17729,29,76,2,69,228
"G0100890","2010","3","6","Alabama","01","Madison County","089",,,,,,,,,,,,,,"26620","99999","290",,,,,,,,,,,,,,"Madison County",,334811,334811,279763,276556,3207,55048,0,334811,228280,80376,2551,8265,365,6719,8255
"G0100910","2010","3","6","Alabama","01","Marengo County","091",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Marengo County",,21027,21027,6452,0,6452,14575,0,21027,9751,10872,34,53,13,140,164
"G0100930","2010","3","6","Alabama","01","Marion County","093",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Marion County",,30776,30776,3430,0,3430,27346,0,30776,28791,1184,101,54,14,291,341
