GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PUMA5A,NAME_E,IXME001,IXME002,IXME003,IXME004,IXME005,IXME006,IXME007,IXME008,IXME009,IXME010,IXME011,IXME012,IXME013,IXME014,IXME015,IXME016,IXME017,IXME018,IXME019,IXME020,IXME021,IXME022,IXME023,IXME024,IXME025,IX2E001,IX2E002,IX2E003,IX2E004,IX2E005,IX2E006,IX2E007,IX2E008,IX2E009,IX2E010,IX2E011,IX2E012,IX2E013,I6IE001,NAME_M,IXMM001,IXMM002,IXMM003,IXMM004,IXMM005,IXMM006,IXMM007,IXMM008,IXMM009,IXMM010,IXMM011,IXMM012,IXMM013,IXMM014,IXMM015,IXMM016,IXMM017,IXMM018,IXMM019,IXMM020,IXMM021,IXMM022,IXMM023,IXMM024,IXMM025,IX2M001,IX2M002,IX2M003,IX2M004,IX2M005,IX2M006,IX2M007,IX2M008,IX2M009,IX2M010,IX2M011,IX2M012,IX2M013,I6IM001
"G0100030","2010",,,"Alabama","01","Baldwin County","003",,,,,,,,,,,,,,,,,"Baldwin County, Alabama",127969,867,0,0,0,0,310,807,111,1316,1007,2092,2337,2469,3002,1382,32839,6464,7437,20773,9951,25384,7350,1464,607,172204,161028,6942,376,123,668,888,75,859,0,40,1059,146,25583,"Baldwin County, Alabama",751,627,273,273,273,273,428,769,136,917,729,758,862,819,916,539,2749,1423,1297,2437,1836,2461,1445,490,358,521,2385,1216,243,99,594,527,121,673,273,84,1677,131,1487
"G0100150","2010",,,"Alabama","01","Calhoun County","015",,,,,,,,,,,,,,,,,"Calhoun County, Alabama",78510,1726,0,0,114,0,98,0,709,1175,1114,3435,1347,3629,2876,800,21060,5838,4319,12283,6412,7652,3032,466,425,,,,,,,,,,,,,,19245,"Calhoun County, Alabama",521,794,273,273,193,273,119,273,769,610,623,1217,578,940,891,397,2071,1211,1088,1587,1324,1453,774,347,268,,,,,,,,,,,,,,1295
"G0100430","2010",,,"Alabama","01","Cullman County","043",,,,,,,,,,,,,,,,,"Cullman County, Alabama",54033,663,0,0,139,52,103,63,44,836,475,1859,1697,2453,1004,701,15349,2595,3221,9827,5163,4953,1867,679,290,,,,,,,,,,,,,,18277,"Cullman County, Alabama",444,426,273,273,218,84,127,74,60,548,314,742,705,921,520,568,1862,729,900,1709,1140,1230,699,416,241,,,,,,,,,,,,,,1567
"G0100490","2010",,,"Alabama","01","DeKalb County","049",,,,,,,,,,,,,,,,,"DeKalb County, Alabama",45794,899,15,0,37,21,66,315,519,1328,810,1394,2716,1504,2375,712,12771,2458,2151,6764,3379,3626,1650,125,159,,,,,,,,,,,,,,18883,"DeKalb County, Alabama",745,454,30,273,49,41,75,258,341,661,503,668,861,639,1002,464,1497,591,682,1323,800,831,694,144,157,,,,,,,,,,,,,,2864
"G0100510","2010",,,"Alabama","01","Elmore County","051",,,,,,,,,,,,,,,,,"Elmore County, Alabama",53657,136,0,0,0,0,154,97,0,233,253,1148,1366,1082,1985,1105,12366,4461,3292,10046,4330,7252,3295,666,390,,,,,,,,,,,,,,23431,"Elmore County, Alabama",813,122,273,273,273,273,245,114,273,176,189,512,583,527,928,436,1460,1131,969,1590,1137,1334,881,482,319,,,,,,,,,,,,,,1725
"G0100550","2010",,,"Alabama","01","Etowah County","055",,,,,,,,,,,,,,,,,"Etowah County, Alabama",71575,588,0,0,399,37,0,0,653,461,505,1728,1543,3636,3003,1349,18526,5372,4851,14326,5341,5898,2682,636,41,,,,,,,,,,,,,,18665,"Etowah County, Alabama",754,353,273,273,424,64,273,273,315,288,293,1132,531,1170,1155,625,2113,1238,1149,2063,1179,1289,761,395,54,,,,,,,,,,,,,,1426
"G0100690","2010",,,"Alabama","01","Houston County","069",,,,,,,,,,,,,,,,,"Houston County, Alabama",68538,681,31,0,17,0,199,167,384,809,704,748,1559,2448,2530,1105,19663,4046,4493,10534,5991,7719,3554,680,476,95146,90652,2821,160,384,207,218,31,70,407,14,46,136,21326,"Houston County, Alabama",309,180,38,273,28,273,174,117,211,291,247,252,385,611,497,254,1387,763,610,894,808,691,545,185,222,47,686,472,141,260,258,124,52,98,200,25,58,135,855
"G0100730","2010",,,"Alabama","01","Jefferson County","073",,,,,,,,,,,,,,,,,"Jefferson County, Alabama",440047,4095,0,22,276,0,353,396,502,3512,2769,4918,8655,12324,13709,8944,104971,16129,21078,78177,33210,79165,30623,10508,5711,614836,578017,23733,1468,1049,217,3029,367,2837,761,325,1473,1560,24382,"Jefferson County, Alabama",492,1073,273,26,292,273,416,248,196,1252,910,1455,1427,1912,1950,1778,4359,1784,2207,4901,3228,4520,3018,1393,1198,3,2556,1875,545,529,234,1259,459,1184,613,320,908,1140,656
"G0100770","2010",,,"Alabama","01","Lauderdale County","077",,,,,,,,,,,,,,,,,"Lauderdale County, Alabama",61852,601,0,0,124,0,0,145,95,632,674,372,1170,1901,2036,1061,16712,4005,4035,8340,5197,9199,3870,961,722,,,,,,,,,,,,,,22038,"Lauderdale County, Alabama",591,424,273,273,156,273,273,172,138,348,335,229,428,846,807,539,2250,946,1083,1308,1307,1749,968,471,426,,,,,,,,,,,,,,1445
"G0100810","2010",,,"Alabama","01","Lee County","081",,,,,,,,,,,,,,,,,"Lee County, Alabama",79286,941,0,0,23,53,158,0,131,768,502,685,1262,2999,2353,989,17372,3812,4400,12404,5665,13663,7425,1327,2354,131743,122631,4200,586,516,78,893,538,1112,47,79,454,609,21184,"Lee County, Alabama",617,365,273,273,41,91,127,273,149,351,368,476,511,932,1026,410,1837,946,1123,1457,1044,1734,1098,609,598,323,1900,698,576,627,130,602,293,812,83,110,291,883,1198
"G0100830","2010",,,"Alabama","01","Limestone County","083",,,,,,,,,,,,,,,,,"Limestone County, Alabama",56736,929,0,38,0,0,70,48,158,577,604,769,1462,1551,3115,777,11840,4480,3834,7901,4557,9573,3415,353,685,,,,,,,,,,,,,,24978,"Limestone County, Alabama",800,442,273,64,273,273,124,79,179,384,510,402,513,522,880,466,1685,772,914,1509,977,1308,786,252,499,,,,,,,,,,,,,,1798
"G0100890","2010",,,"Alabama","01","Madison County","089",,,,,,,,,,,,,,,,,"Madison County, Alabama",222078,1685,0,0,36,459,202,292,31,2283,1897,2584,4260,4985,3695,4585,40480,7560,12236,37510,15425,49039,25141,5211,2482,314906,292432,11597,1319,1447,325,2507,1008,1011,602,652,631,1375,29664,"Madison County, Alabama",852,593,273,273,60,500,145,317,54,1049,836,816,1571,1444,1009,1223,3700,1393,1794,3216,1834,3343,2392,1126,638,418,2061,1384,691,570,291,962,788,777,520,570,411,877,1217
