GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,BTBGA,NAME_E,JM0E001,JM0E002,JM0E003,JM0E004,JM0E005,JM0E006,JM0E007,JM0E008,JM0E009,JM0E010,JM0E011,JM0E012,JM0E013,JM0E014,JM0E015,JM0E016,JM0E017,JM0E018,JM0E019,JM0E020,JM0E021,JT5E001,JT5E002,JT5E003,NAME_M,JM0M001,JM0M002,JM0M003,JM0M004,JM0M005,JM0M006,JM0M007,JM0M008,JM0M009,JM0M010,JM0M011,JM0M012,JM0M013,JM0M014,JM0M015,JM0M016,JM0M017,JM0M018,JM0M019,JM0M020,JM0M021,JT5M001,JT5M002,JT5M003
"G0100010","2006-2010",,,"Alabama","01","Autauga County","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Autauga County, Alabama",24499,23542,21279,2263,1712,367,112,68,4,72,72,0,0,0,0,46,111,12,206,34,476,53155,2505,50650,"Autauga County, Alabama",560,633,670,375,323,142,81,53,5,51,51,119,119,119,119,59,57,18,97,33,172,-1,-1,-1
"G0100030","2006-2010",,,"Alabama","01","Baldwin County","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Baldwin County, Alabama",77184,72570,64459,8111,6046,1196,536,84,249,241,241,0,0,0,0,14,197,97,1111,458,2496,175791,8570,167221,"Baldwin County, Alabama",1313,1378,1619,918,746,356,289,62,176,139,139,119,119,119,119,21,88,79,403,194,328,-1,-1,-1
"G0100050","2006-2010",,,"Alabama","01","Barbour County","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Barbour County, Alabama",9661,9056,7631,1425,1012,157,98,65,93,30,30,0,0,0,0,0,13,11,227,137,187,27699,1446,26253,"Barbour County, Alabama",459,436,466,258,258,74,58,49,83,47,47,119,119,119,119,119,21,18,108,81,84,-1,-1,-1
"G0100070","2006-2010",,,"Alabama","01","Bibb County","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bibb County, Alabama",9521,9093,8092,1001,690,153,85,73,0,50,50,0,0,0,0,8,51,0,84,60,175,22610,1059,21551,"Bibb County, Alabama",562,584,606,318,264,110,67,90,119,62,62,119,119,119,119,12,79,119,89,48,120,-1,-1,-1
"G0100090","2006-2010",,,"Alabama","01","Blount County","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Blount County, Alabama",23978,22756,19335,3421,2348,615,240,216,2,13,13,0,0,0,0,0,5,11,352,61,780,56692,3274,53418,"Blount County, Alabama",873,849,804,468,359,312,128,178,3,21,21,119,119,119,119,119,10,18,172,44,154,-1,-1,-1
"G0100110","2006-2010",,,"Alabama","01","Bullock County","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bullock County, Alabama",4090,3952,3347,605,415,123,67,0,0,0,0,0,0,0,0,0,0,0,74,58,6,10923,407,10516,"Bullock County, Alabama",396,383,431,215,155,105,91,119,119,119,119,119,119,119,119,119,119,119,86,64,10,-1,-1,-1
"G0100130","2006-2010",,,"Alabama","01","Butler County","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Butler County, Alabama",7876,7609,6911,698,573,107,18,0,0,34,34,0,0,0,0,0,3,0,45,119,66,20895,1044,19851,"Butler County, Alabama",364,353,336,183,164,70,20,119,119,26,26,119,119,119,119,119,5,119,39,73,47,-1,-1,-1
"G0100150","2006-2010",,,"Alabama","01","Calhoun County","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Calhoun County, Alabama",46345,44221,39805,4416,3094,845,259,183,35,152,152,0,0,0,0,49,188,93,478,429,735,117149,7488,109661,"Calhoun County, Alabama",1025,1013,1046,443,396,250,102,144,52,93,93,119,119,119,119,59,106,52,143,145,188,-1,-1,-1
"G0100170","2006-2010",,,"Alabama","01","Chambers County","017",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chambers County, Alabama",13255,12573,10928,1645,1464,84,76,6,15,26,26,0,0,0,0,0,37,0,77,117,425,34579,1594,32985,"Chambers County, Alabama",492,509,540,342,313,57,87,9,24,30,30,119,119,119,119,119,50,119,42,86,194,-1,-1,-1
"G0100190","2006-2010",,,"Alabama","01","Cherokee County","019",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cherokee County, Alabama",10234,9700,7970,1730,1385,270,17,18,40,0,0,0,0,0,0,0,63,0,50,247,174,25700,2974,22726,"Cherokee County, Alabama",499,493,531,410,395,185,30,28,52,119,119,119,119,119,119,119,49,119,40,184,80,-1,-1,-1
"G0100210","2006-2010",,,"Alabama","01","Chilton County","021",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chilton County, Alabama",18101,17454,14640,2814,2089,447,262,5,11,16,16,0,0,0,0,14,26,42,188,72,289,43121,2622,40499,"Chilton County, Alabama",595,615,620,346,350,169,150,9,15,26,26,119,119,119,119,25,24,39,95,49,118,-1,-1,-1
"G0100230","2006-2010",,,"Alabama","01","Choctaw County","023",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Choctaw County, Alabama",4307,4067,3411,656,339,195,102,20,0,7,7,0,0,0,0,0,0,0,38,59,136,14111,479,13632,"Choctaw County, Alabama",334,323,314,153,120,90,54,24,119,14,14,119,119,119,119,119,119,119,33,51,80,-1,-1,-1
"G0100250","2006-2010",,,"Alabama","01","Clarke County","025",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Clarke County, Alabama",8031,7783,7232,551,336,173,39,0,3,24,24,0,0,0,0,0,0,21,59,54,90,26255,1142,25113,"Clarke County, Alabama",500,474,448,165,117,95,39,119,5,21,21,119,119,119,119,119,119,28,49,39,66,-1,-1,-1
"G0100270","2006-2010",,,"Alabama","01","Clay County","027",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Clay County, Alabama",5518,5171,4374,797,559,108,97,6,27,11,11,0,0,0,0,0,0,0,53,15,268,14040,847,13193,"Clay County, Alabama",338,336,354,215,191,72,54,16,40,18,18,119,119,119,119,119,119,119,36,19,116,-1,-1,-1
"G0100290","2006-2010",,,"Alabama","01","Cleburne County","029",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cleburne County, Alabama",5524,5127,4373,754,625,84,39,0,6,0,0,0,0,0,0,0,17,0,108,56,216,14823,947,13876,"Cleburne County, Alabama",465,460,411,169,164,58,60,119,10,119,119,119,119,119,119,119,23,119,72,69,91,-1,-1,-1
"G0100310","2006-2010",,,"Alabama","01","Coffee County","031",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Coffee County, Alabama",20492,19327,17327,2000,1441,319,230,1,9,13,13,0,0,0,0,0,39,27,321,283,482,48349,3177,45172,"Coffee County, Alabama",600,604,656,315,234,156,139,4,11,20,20,119,119,119,119,119,29,28,121,127,123,-1,-1,-1
"G0100330","2006-2010",,,"Alabama","01","Colbert County","033",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Colbert County, Alabama",22540,21622,19273,2349,1988,187,109,31,34,38,26,0,0,12,0,18,56,0,285,169,352,54446,3972,50474,"Colbert County, Alabama",639,657,778,369,354,82,72,36,34,38,33,119,119,17,119,21,39,119,115,84,122,-1,-1,-1
"G0100350","2006-2010",,,"Alabama","01","Conecuh County","035",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Conecuh County, Alabama",4395,4355,3796,559,473,36,13,0,37,0,0,0,0,0,0,0,0,0,0,21,19,13382,372,13010,"Conecuh County, Alabama",362,362,415,215,204,59,17,119,53,119,119,119,119,119,119,119,119,119,119,36,32,-1,-1,-1
"G0100370","2006-2010",,,"Alabama","01","Coosa County","037",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Coosa County, Alabama",4093,3773,3227,546,520,26,0,0,0,33,33,0,0,0,0,0,0,0,24,56,207,11470,462,11008,"Coosa County, Alabama",278,283,280,184,172,30,119,119,119,26,26,119,119,119,119,119,119,119,23,38,134,-1,-1,-1
"G0100390","2006-2010",,,"Alabama","01","Covington County","039",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Covington County, Alabama",15491,14129,12321,1808,1363,380,23,20,22,2,0,2,0,0,0,0,29,0,287,603,441,37608,2277,35331,"Covington County, Alabama",526,568,562,335,280,192,26,32,35,21,119,21,119,119,119,119,30,119,114,194,160,-1,-1,-1
"G0100410","2006-2010",,,"Alabama","01","Crenshaw County","041",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Crenshaw County, Alabama",5837,5383,4694,689,457,120,0,14,98,0,0,0,0,0,0,0,15,12,82,60,285,13928,824,13104,"Crenshaw County, Alabama",305,305,300,157,125,66,119,17,79,119,119,119,119,119,119,119,22,17,51,37,145,-1,-1,-1
"G0100430","2006-2010",,,"Alabama","01","Cullman County","043",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cullman County, Alabama",33093,31602,26552,5050,2989,941,443,483,194,41,41,0,0,0,0,0,87,0,300,222,841,79941,4392,75549,"Cullman County, Alabama",928,922,816,733,471,301,174,391,106,34,34,119,119,119,119,119,59,119,106,112,197,-1,-1,-1
"G0100450","2006-2010",,,"Alabama","01","Dale County","045",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dale County, Alabama",21775,20328,17968,2360,1862,290,177,24,7,68,68,0,0,0,0,0,91,18,641,173,456,49730,3657,46073,"Dale County, Alabama",518,522,590,388,346,93,114,23,9,59,59,119,119,119,119,119,45,21,398,80,180,-1,-1,-1
"G0100470","2006-2010",,,"Alabama","01","Dallas County","047",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dallas County, Alabama",15102,14475,12712,1763,1311,306,117,2,27,13,13,0,0,0,0,84,0,8,204,164,154,44066,2305,41761,"Dallas County, Alabama",674,633,626,307,274,149,87,8,35,21,21,119,119,119,119,55,119,13,115,80,91,-1,-1,-1
