GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,NAME_E,JWAE001,JWAE002,JWAE003,JWAE004,JWAE005,JWAE006,JWAE007,JWAE008,JWAE009,JWAE010,JWAE011,JWAE012,JWAE013,JWAE014,JWAE015,JWOE001,JWOE002,JWOE003,JWOE004,JWOE005,JWOE006,JWOE007,JWOE008,JWOE009,JWOE010,JWOE011,JWOE012,JWOE013,JWOE014,JWOE015,JWOE016,JWOE017,JWOE018,JWOE019,JWOE020,JWOE021,JWOE022,JWOE023,JWOE024,JWOE025,JWOE026,JWOE027,JWOE028,JWOE029,JWOE030,JWOE031,JWOE032,JWOE033,JWOE034,JWOE035,JWOE036,JWOE037,JWOE038,JWOE039,JWOE040,JWOE041,JWOE042,JWOE043,JWOE044,JWOE045,JWOE046,JWOE047,JWOE048,JWOE049,JWOE050,JWOE051,JWOE052,JWOE053,JWOE054,JWOE055,JWOE056,JWOE057,JWOE058,JWOE059,JWOE060,JWOE061,JWOE062,JWOE063,JWOE064,JWOE065,JWOE066,JWOE067,JWOE068,JWOE069,JWOE070,JWOE071,JWOE072,JWOE073,JWOE074,JWOE075,JWOE076,JWOE077,JWOE078,JWOE079,JWOE080,JWOE081,JWOE082,JWOE083,JWOE084,JWOE085,JWOE086,JWOE087,JWOE088,JWOE089,JWOE090,JWOE091,JWOE092,JWOE093,JWOE094,JWOE095,JWOE096,JWOE097,JWOE098,JWOE099,JWOE100,JWOE101,JWOE102,JWOE103,JWOE104,JWOE105,JWOE106,JWOE107,JWOE108,JWOE109,JWOE110,JWOE111,JWOE112,JWOE113,JWOE114,JWOE115,JWOE116,JWOE117,JWOE118,JWOE119,JWOE120,JWOE121,JWOE122,JWOE123,JWOE124,JWOE125,JWOE126,JWOE127,JWOE128,JWOE129,JWOE130,JWOE131,JWOE132,JWOE133,JWOE134,JWOE135,JWOE136,JWOE137,JWOE138,JWOE139,JWOE140,JWOE141,JWOE142,JWOE143,JWOE144,JWOE145,JWOE146,JWOE147,JWOE148,JWOE149,JWOE150,JWOE151,JWOE152,JWOE153,JWOE154,JWOE155,JWOE156,JWOE157,JWOE158,JWOE159,JWOE160,JWOE161,JWUE001,JWUE002,JWUE003,J4TE001,NAME_M,JWAM001,JWAM002,JWAM003,JWAM004,JWAM005,JWAM006,JWAM007,JWAM008,JWAM009,JWAM010,JWAM011,JWAM012,JWAM013,JWAM014,JWAM015,JWOM001,JWOM002,JWOM003,JWOM004,JWOM005,JWOM006,JWOM007,JWOM008,JWOM009,JWOM010,JWOM011,JWOM012,JWOM013,JWOM014,JWOM015,JWOM016,JWOM017,JWOM018,JWOM019,JWOM020,JWOM021,JWOM022,JWOM023,JWOM024,JWOM025,JWOM026,JWOM027,JWOM028,JWOM029,JWOM030,JWOM031,JWOM032,JWOM033,JWOM034,JWOM035,JWOM036,JWOM037,JWOM038,JWOM039,JWOM040,JWOM041,JWOM042,JWOM043,JWOM044,JWOM045,JWOM046,JWOM047,JWOM048,JWOM049,JWOM050,JWOM051,JWOM052,JWOM053,JWOM054,JWOM055,JWOM056,JWOM057,JWOM058,JWOM059,JWOM060,JWOM061,JWOM062,JWOM063,JWOM064,JWOM065,JWOM066,JWOM067,JWOM068,JWOM069,JWOM070,JWOM071,JWOM072,JWOM073,JWOM074,JWOM075,JWOM076,JWOM077,JWOM078,JWOM079,JWOM080,JWOM081,JWOM082,JWOM083,JWOM084,JWOM085,JWOM086,JWOM087,JWOM088,JWOM089,JWOM090,JWOM091,JWOM092,JWOM093,JWOM094,JWOM095,JWOM096,JWOM097,JWOM098,JWOM099,JWOM100,JWOM101,JWOM102,JWOM103,JWOM104,JWOM105,JWOM106,JWOM107,JWOM108,JWOM109,JWOM110,JWOM111,JWOM112,JWOM113,JWOM114,JWOM115,JWOM116,JWOM117,JWOM118,JWOM119,JWOM120,JWOM121,JWOM122,JWOM123,JWOM124,JWOM125,JWOM126,JWOM127,JWOM128,JWOM129,JWOM130,JWOM131,JWOM132,JWOM133,JWOM134,JWOM135,JWOM136,JWOM137,JWOM138,JWOM139,JWOM140,JWOM141,JWOM142,JWOM143,JWOM144,JWOM145,JWOM146,JWOM147,JWOM148,JWOM149,JWOM150,JWOM151,JWOM152,JWOM153,JWOM154,JWOM155,JWOM156,JWOM157,JWOM158,JWOM159,JWOM160,JWOM161,JWUM001,JWUM002,JWUM003,J4TM001
"G0100010","2006-2010",,,"Alabama","01","Autauga County","001",,,,,,,,,,,,,,,,,,,,,,,,,,"Autauga County, Alabama",53155,52100,35666,15565,1399,3121,8886,2159,869,45,5,819,1055,440,615,1055,239,73,73,16,57,0,0,0,0,0,0,105,18,0,0,74,13,0,0,25,15,6,0,4,0,36,0,0,0,0,0,0,0,0,0,0,0,0,4,32,0,0,0,0,0,276,138,3,0,0,3,13,122,0,44,0,0,37,0,0,7,0,0,0,0,65,0,0,3,0,0,62,0,0,0,0,29,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,71,71,0,0,0,469,429,47,0,0,26,0,21,0,0,0,0,0,0,0,367,233,0,77,0,0,57,0,0,0,15,0,0,15,0,0,0,0,0,0,0,0,40,40,0,53155,52100,1055,0.4050,"Autauga County, Alabama",0,253,900,870,252,523,604,386,217,38,6,211,253,108,249,253,95,47,47,15,44,119,119,119,119,119,119,58,31,119,119,46,20,119,119,17,13,8,119,6,119,50,119,119,119,119,119,119,119,119,119,119,119,119,6,50,119,119,119,119,119,105,115,5,119,119,5,21,112,119,44,119,119,39,119,119,13,119,119,119,119,45,119,119,6,119,119,46,119,119,119,119,50,119,119,119,50,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,90,90,90,119,119,119,179,184,50,119,119,40,119,31,119,119,119,119,119,119,119,169,160,119,94,119,119,64,119,119,119,19,119,119,19,119,119,119,119,119,119,119,119,34,34,119,0,253,253,0.0160
"G0100030","2006-2010",,,"Alabama","01","Baldwin County","003",,,,,,,,,,,,,,,,,,,,,,,,,,"Baldwin County, Alabama",175791,169376,94067,73926,8141,17394,42901,5490,1383,143,7,1233,6415,1756,4659,6415,1281,478,266,47,190,29,46,61,105,0,0,296,13,0,47,204,32,0,0,81,14,16,37,14,0,358,0,0,0,0,129,0,0,0,16,0,9,66,35,17,30,43,40,13,68,1064,411,246,191,0,55,72,93,0,87,0,0,87,0,0,0,0,0,0,0,369,91,11,0,83,0,102,18,0,64,0,197,0,0,0,0,0,0,0,0,197,0,0,0,104,0,0,0,0,0,0,0,0,51,51,0,0,0,53,53,0,0,0,0,0,0,0,0,0,21,21,21,0,0,0,3945,3489,277,0,0,72,0,0,0,0,165,0,40,0,0,2641,1857,0,10,28,82,613,22,29,0,571,3,91,242,23,94,57,0,13,0,24,24,456,456,0,175791,169376,6415,0.4390,"Baldwin County, Alabama",0,753,2028,2023,804,975,1782,674,316,83,12,300,753,312,714,753,328,199,109,52,94,34,45,48,122,119,119,136,20,119,47,118,37,119,119,67,19,19,57,20,119,155,119,119,119,119,115,119,119,119,26,119,14,67,32,28,49,47,47,21,50,359,151,147,150,119,80,60,60,119,112,119,119,112,119,119,119,119,119,119,119,204,145,17,119,128,119,70,27,119,68,119,294,119,119,119,119,119,119,119,119,294,119,119,119,113,119,119,119,119,119,119,119,119,96,96,119,119,119,60,60,119,119,119,119,119,119,119,119,119,22,22,22,119,119,119,580,561,196,119,119,73,119,119,119,119,172,119,54,119,119,509,529,119,16,44,127,371,37,51,119,223,5,134,123,28,73,73,119,21,119,30,41,184,184,119,0,753,753,0.0098
"G0100050","2006-2010",,,"Alabama","01","Barbour County","005",,,,,,,,,,,,,,,,,,,,,,,,,,"Barbour County, Alabama",27699,26921,19871,6953,661,853,4779,660,97,50,0,47,778,134,644,778,49,23,11,10,0,1,0,0,12,0,0,15,0,0,0,15,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,56,24,0,0,0,0,0,24,0,32,0,0,10,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,673,658,0,0,0,0,0,0,0,0,0,0,0,0,0,650,589,0,0,10,41,0,0,10,0,8,0,0,0,0,0,0,8,0,0,0,0,15,15,0,27699,26921,778,0.4640,"Barbour County, Alabama",0,198,473,480,159,209,429,237,66,54,119,37,198,77,175,198,37,29,16,16,119,3,119,119,19,119,119,18,119,119,119,18,119,119,119,119,119,119,119,119,119,17,119,119,119,119,119,119,119,119,119,119,119,119,17,119,119,119,119,119,119,58,35,119,119,119,119,119,35,119,43,119,119,16,119,119,39,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,171,171,119,119,119,119,119,119,119,119,119,119,119,119,119,172,162,119,119,16,44,119,119,16,119,16,119,119,119,119,119,119,16,119,119,119,119,18,18,119,0,198,198,0.0247
"G0100070","2006-2010",,,"Alabama","01","Bibb County","007",,,,,,,,,,,,,,,,,,,,,,,,,,"Bibb County, Alabama",22610,22457,19430,2984,339,768,1565,312,43,6,0,37,153,109,44,153,52,11,11,0,11,0,0,0,0,0,0,41,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,12,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,86,0,0,0,0,0,0,0,0,0,0,0,0,0,86,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,22610,22457,153,0.4110,"Bibb County, Alabama",0,158,578,566,142,245,375,261,35,9,119,34,158,137,67,158,71,13,13,119,13,119,119,119,119,119,119,67,119,119,119,119,67,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,21,119,119,119,119,119,119,119,119,21,119,119,21,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,136,136,119,119,119,119,119,119,119,119,119,119,119,119,119,136,136,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,6,6,119,0,158,158,0.0227
"G0100090","2006-2010",,,"Alabama","01","Blount County","009",,,,,,,,,,,,,,,,,,,,,,,,,,"Blount County, Alabama",56692,54017,45083,8798,632,1549,5673,944,136,16,0,120,2675,313,2362,2675,63,0,0,0,0,0,0,0,0,0,0,45,0,0,7,38,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,192,31,0,0,0,0,0,31,0,100,0,0,77,23,0,0,0,0,0,0,27,0,0,0,0,0,27,0,0,0,0,34,0,0,0,29,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,18,0,0,0,2402,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,2376,2275,0,0,19,55,27,0,0,0,24,0,0,0,15,0,0,0,0,0,9,0,2,2,0,56692,54017,2675,0.4220,"Blount County, Alabama",0,338,746,793,231,277,648,290,80,23,119,77,338,115,334,338,49,119,119,119,119,119,119,119,119,119,119,39,119,119,12,35,119,119,119,119,119,119,119,119,119,29,119,119,119,119,119,119,119,119,119,119,119,119,119,29,119,119,119,119,119,127,44,119,119,119,119,119,44,119,116,119,119,107,38,119,119,119,119,119,119,41,119,119,119,119,119,41,119,119,119,119,48,119,119,119,48,9,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,29,29,29,119,119,119,312,312,119,119,119,119,119,119,119,119,119,119,119,119,119,316,327,119,119,22,42,34,119,119,119,28,119,119,119,23,119,119,119,119,119,16,119,3,3,119,0,338,338,0.0174
"G0100110","2006-2010",,,"Alabama","01","Bullock County","011",,,,,,,,,,,,,,,,,,,,,,,,,,"Bullock County, Alabama",10923,10799,9357,1396,238,236,829,93,46,0,0,46,124,107,17,124,49,0,0,0,0,0,0,0,0,0,0,49,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,47,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10923,10799,124,0.5330,"Bullock County, Alabama",0,103,423,406,198,142,289,104,42,119,119,42,103,98,27,103,69,119,119,119,119,119,119,119,119,119,119,69,119,119,119,69,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,65,119,119,119,119,119,119,119,119,65,119,119,65,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,33,33,119,119,119,119,119,119,119,119,119,119,119,119,119,33,33,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,0,103,103,0.0449
"G0100130","2006-2010",,,"Alabama","01","Butler County","013",,,,,,,,,,,,,,,,,,,,,,,,,,"Butler County, Alabama",20895,20671,17740,2882,372,530,1772,208,49,0,0,49,224,81,143,224,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,9,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,59,48,48,0,0,0,11,0,22,0,0,0,0,0,0,22,0,0,0,39,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,34,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,46,0,0,0,0,0,20895,20671,224,0.4630,"Butler County, Alabama",0,113,421,386,133,217,328,103,34,119,119,34,113,69,101,113,22,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,22,119,17,24,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,96,74,73,73,119,119,119,17,119,35,119,119,119,119,119,119,35,119,119,119,55,119,119,119,119,119,119,119,119,55,119,119,119,119,119,119,119,119,119,119,119,119,119,119,51,119,119,119,119,119,51,51,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,71,71,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,71,119,119,119,119,119,119,119,119,71,119,119,119,119,119,0,113,113,0.0191
"G0100150","2006-2010",,,"Alabama","01","Calhoun County","015",,,,,,,,,,,,,,,,,,,,,,,,,,"Calhoun County, Alabama",117149,114181,83750,29276,3719,5853,16458,3246,1155,93,19,1043,2968,931,2037,2968,520,105,82,35,32,15,9,0,14,0,0,381,14,0,13,344,10,0,0,9,0,0,0,9,0,25,0,0,0,13,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,657,346,133,122,0,11,59,154,0,221,0,0,173,0,0,0,34,0,14,0,90,0,0,0,0,0,39,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,11,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,1771,1700,123,13,0,22,0,17,0,16,55,0,0,0,0,1501,1314,0,0,80,21,18,0,68,0,76,0,6,16,0,0,0,21,17,0,16,0,71,71,0,117149,114181,2968,0.4530,"Calhoun County, Alabama",0,401,1386,1285,497,589,923,494,300,63,30,279,401,195,380,401,151,64,52,33,34,24,15,119,23,119,119,128,24,119,21,126,16,119,119,17,119,119,119,17,119,30,119,119,119,22,119,119,119,119,119,119,19,119,119,119,119,119,119,119,119,146,150,95,92,119,19,48,89,119,133,119,119,133,119,119,119,50,119,22,119,67,119,119,119,119,119,49,119,49,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,22,19,119,119,119,19,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,15,119,119,119,119,119,119,345,354,95,21,119,39,119,21,119,25,64,119,119,119,119,341,366,119,119,89,33,30,119,52,119,58,119,10,25,119,119,119,34,26,119,23,119,49,49,119,0,401,401,0.0099
"G0100170","2006-2010",,,"Alabama","01","Chambers County","017",,,,,,,,,,,,,,,,,,,,,,,,,,"Chambers County, Alabama",34579,34278,25331,8795,600,865,6884,446,152,34,0,118,301,69,232,301,46,2,2,0,2,0,0,0,0,0,0,14,0,0,0,14,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,84,59,32,32,0,0,11,16,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,13,0,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,31,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,140,2,0,0,0,0,0,0,0,0,0,2,0,0,100,94,0,0,0,6,0,0,0,0,38,0,0,0,0,38,0,0,0,0,0,0,0,0,0,34579,34278,301,0.4250,"Chambers County, Alabama",0,105,706,700,149,223,621,134,69,39,119,63,105,63,112,105,47,3,3,119,3,119,119,119,119,119,119,19,119,119,119,19,119,119,119,119,119,119,119,119,119,43,119,119,119,119,119,119,119,119,119,119,119,119,43,119,119,119,119,119,119,28,27,32,32,119,119,19,28,119,119,119,119,119,119,119,119,119,119,119,119,31,119,119,119,119,119,23,119,10,13,119,119,119,119,119,119,119,119,119,119,119,119,119,119,47,47,119,119,119,47,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,87,87,3,119,119,119,119,119,119,119,119,119,3,119,119,77,79,119,119,119,12,119,119,119,119,49,119,119,119,119,49,119,119,119,119,119,119,119,119,119,0,105,105,0.0130
"G0100190","2006-2010",,,"Alabama","01","Cherokee County","019",,,,,,,,,,,,,,,,,,,,,,,,,,"Cherokee County, Alabama",25700,25573,15092,10336,209,928,8914,285,145,38,0,107,127,77,50,127,24,0,0,0,0,0,0,0,0,0,0,24,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,49,8,0,0,0,0,8,0,0,0,0,0,0,0,30,0,0,0,0,0,30,0,0,0,11,0,0,11,0,0,0,0,0,0,0,0,0,0,0,25700,25573,127,0.4390,"Cherokee County, Alabama",0,85,715,698,97,231,673,144,93,48,119,81,85,67,51,85,36,119,119,119,119,119,119,119,119,119,119,36,119,119,119,36,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,39,6,119,119,119,119,6,119,119,119,119,119,119,119,119,119,119,119,119,119,37,119,119,119,119,119,37,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,39,119,119,119,119,119,119,119,119,39,39,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,56,56,16,119,119,119,119,16,119,119,119,119,119,119,119,49,119,119,119,119,119,49,119,119,119,17,119,119,17,119,119,119,119,119,119,119,119,119,119,119,0,85,85,0.0242
