GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,TTRACTA,ANRCA,CBSAA,METDIVA,CSAA,NECTAA,NECTADIVA,CNECTAA,CDA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,NAME,LHT001,LHT002,LHT003,LHT004
"G0100010","2010","3","6","Alabama","01","Autauga County","001",,,,,,,,,,,"33860","99999","388",,,,,,,,,,,,"Autauga County",20221,10563,4685,4973
"G0100030","2010","3","6","Alabama","01","Baldwin County","003",,,,,,,,,,,"19300","99999","380",,,,,,,,,,,,"Baldwin County",73180,34135,18936,20109
"G0100050","2010","3","6","Alabama","01","Barbour County","005",,,,,,,,,,,"21640","99999","999",,,,,,,,,,,,"Barbour County",9820,3503,3053,3264
"G0100070","2010","3","6","Alabama","01","Bibb County","007",,,,,,,,,,,"13820","99999","142",,,,,,,,,,,,"Bibb County",7953,3326,2685,1942
"G0100090","2010","3","6","Alabama","01","Blount County","009",,,,,,,,,,,"13820","99999","142",,,,,,,,,,,,"Blount County",21578,10442,6942,4194
"G0100110","2010","3","6","Alabama","01","Bullock County","011",,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,"Bullock County",3745,1049,1527,1169
"G0100130","2010","3","6","Alabama","01","Butler County","013",,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,"Butler County",8491,2956,3011,2524
"G0100150","2010","3","6","Alabama","01","Calhoun County","015",,,,,,,,,,,"11500","99999","999",,,,,,,,,,,,"Calhoun County",47331,19074,13478,14779
"G0100170","2010","3","6","Alabama","01","Chambers County","017",,,,,,,,,,,"46740","99999","122",,,,,,,,,,,,"Chambers County",13933,5392,4451,4090
"G0100190","2010","3","6","Alabama","01","Cherokee County","019",,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,"Cherokee County",10626,4011,4334,2281
"G0100210","2010","3","6","Alabama","01","Chilton County","021",,,,,,,,,,,"13820","99999","142",,,,,,,,,,,,"Chilton County",16558,7255,5423,3880
"G0100230","2010","3","6","Alabama","01","Choctaw County","023",,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,"Choctaw County",5866,2014,2852,1000
"G0100250","2010","3","6","Alabama","01","Clarke County","025",,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,"Clarke County",10337,3788,4208,2341
"G0100270","2010","3","6","Alabama","01","Clay County","027",,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,"Clay County",5670,1977,2289,1404
"G0100290","2010","3","6","Alabama","01","Cleburne County","029",,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,"Cleburne County",5891,2206,2356,1329
