GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,BTBGA,NAME_E,JL0E001,JL0E002,JL0E003,NAME_M,JL0M001,JL0M002,JL0M003
"G0100010","2006-2010",,,"Alabama","01","Autauga County","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Autauga County, Alabama",36.2,35.3,36.8,"Autauga County, Alabama",0.3,0.3,0.5
"G0100030","2006-2010",,,"Alabama","01","Baldwin County","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Baldwin County, Alabama",41.0,40.0,42.1,"Baldwin County, Alabama",0.3,0.3,0.3
"G0100050","2006-2010",,,"Alabama","01","Barbour County","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Barbour County, Alabama",38.0,36.1,41.9,"Barbour County, Alabama",0.5,0.4,1.4
"G0100070","2006-2010",,,"Alabama","01","Bibb County","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bibb County, Alabama",38.3,37.3,39.3,"Bibb County, Alabama",1.1,1.8,0.6
"G0100090","2006-2010",,,"Alabama","01","Blount County","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Blount County, Alabama",38.3,36.7,39.6,"Blount County, Alabama",0.5,0.7,0.7
"G0100110","2006-2010",,,"Alabama","01","Bullock County","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bullock County, Alabama",38.7,38.1,40.2,"Bullock County, Alabama",2.0,3.3,1.9
"G0100130","2006-2010",,,"Alabama","01","Butler County","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Butler County, Alabama",39.7,38.2,41.6,"Butler County, Alabama",0.6,1.1,1.2
"G0100150","2006-2010",,,"Alabama","01","Calhoun County","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Calhoun County, Alabama",38.1,36.3,39.8,"Calhoun County, Alabama",0.3,0.3,0.4
"G0100170","2006-2010",,,"Alabama","01","Chambers County","017",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chambers County, Alabama",40.1,38.8,41.9,"Chambers County, Alabama",0.5,0.6,0.7
"G0100190","2006-2010",,,"Alabama","01","Cherokee County","019",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cherokee County, Alabama",43.9,42.4,45.3,"Cherokee County, Alabama",0.5,1.6,0.6
"G0100210","2006-2010",,,"Alabama","01","Chilton County","021",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chilton County, Alabama",37.2,36.3,38.2,"Chilton County, Alabama",0.5,0.4,0.4
"G0100230","2006-2010",,,"Alabama","01","Choctaw County","023",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Choctaw County, Alabama",43.2,41.8,44.4,"Choctaw County, Alabama",0.6,1.5,0.8
"G0100250","2006-2010",,,"Alabama","01","Clarke County","025",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Clarke County, Alabama",38.9,38.6,39.0,"Clarke County, Alabama",0.7,1.3,0.9
"G0100270","2006-2010",,,"Alabama","01","Clay County","027",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Clay County, Alabama",41.3,39.1,42.7,"Clay County, Alabama",1.1,2.5,0.9
"G0100290","2006-2010",,,"Alabama","01","Cleburne County","029",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cleburne County, Alabama",40.1,39.4,41.7,"Cleburne County, Alabama",0.8,0.9,1.2
"G0100310","2006-2010",,,"Alabama","01","Coffee County","031",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Coffee County, Alabama",37.9,36.2,39.7,"Coffee County, Alabama",0.3,0.4,0.6
"G0100330","2006-2010",,,"Alabama","01","Colbert County","033",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Colbert County, Alabama",41.6,39.9,43.0,"Colbert County, Alabama",0.6,0.6,0.4
"G0100350","2006-2010",,,"Alabama","01","Conecuh County","035",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Conecuh County, Alabama",43.4,39.3,45.1,"Conecuh County, Alabama",1.1,4.3,0.6
"G0100370","2006-2010",,,"Alabama","01","Coosa County","037",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Coosa County, Alabama",43.8,43.0,44.4,"Coosa County, Alabama",0.7,1.1,0.7
"G0100390","2006-2010",,,"Alabama","01","Covington County","039",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Covington County, Alabama",42.1,40.6,43.6,"Covington County, Alabama",0.5,0.6,0.4
"G0100410","2006-2010",,,"Alabama","01","Crenshaw County","041",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Crenshaw County, Alabama",39.5,37.4,41.0,"Crenshaw County, Alabama",0.7,1.3,1.0
"G0100430","2006-2010",,,"Alabama","01","Cullman County","043",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cullman County, Alabama",39.5,37.8,40.8,"Cullman County, Alabama",0.5,0.5,0.4
"G0100450","2006-2010",,,"Alabama","01","Dale County","045",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dale County, Alabama",35.8,34.0,37.4,"Dale County, Alabama",0.3,0.6,0.4
"G0100470","2006-2010",,,"Alabama","01","Dallas County","047",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dallas County, Alabama",36.8,35.5,38.8,"Dallas County, Alabama",0.3,0.4,0.8
"G0100490","2006-2010",,,"Alabama","01","DeKalb County","049",,,,,,,,,,,,,,,,,,,,,,,,,,,,"DeKalb County, Alabama",37.0,35.6,39.2,"DeKalb County, Alabama",0.5,0.6,0.5
"G0100510","2006-2010",,,"Alabama","01","Elmore County","051",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Elmore County, Alabama",37.3,36.2,38.2,"Elmore County, Alabama",0.3,0.4,0.5
"G0100530","2006-2010",,,"Alabama","01","Escambia County","053",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Escambia County, Alabama",38.3,37.3,39.3,"Escambia County, Alabama",0.4,0.7,0.7
"G0100550","2006-2010",,,"Alabama","01","Etowah County","055",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Etowah County, Alabama",40.0,38.3,41.3,"Etowah County, Alabama",0.3,0.4,0.5
"G0100570","2006-2010",,,"Alabama","01","Fayette County","057",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fayette County, Alabama",42.4,40.0,44.6,"Fayette County, Alabama",0.9,1.0,1.3
"G0100590","2006-2010",,,"Alabama","01","Franklin County","059",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Franklin County, Alabama",38.5,37.1,39.6,"Franklin County, Alabama",0.4,1.0,1.2
"G0100610","2006-2010",,,"Alabama","01","Geneva County","061",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Geneva County, Alabama",42.2,41.2,43.1,"Geneva County, Alabama",0.6,0.8,0.9
"G0100630","2006-2010",,,"Alabama","01","Greene County","063",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Greene County, Alabama",41.9,38.4,43.3,"Greene County, Alabama",1.2,5.8,1.0
