"state","county","fips","Grocery & pharmacy","Parks","Residential","Retail & recreation","Transit stations","Workplace"
"Alabama","Autauga",1001,27.165,NA,11.19,-13.05,NA,-25.745
"Alabama","Baldwin",1003,23.746,31.415,7.776,-13.993,1.641,-18.063
"Alabama","Barbour",1005,-4.965,NA,NA,1.911,NA,-12.348
"Alabama","Bibb",1007,16.032,NA,NA,-0.687,NA,-17.391
"Alabama","Blount",1009,16.518,NA,10.013,-19.415,NA,-25.738
"Alabama","Bullock",1011,2.042,NA,NA,NA,NA,-20.892
"Alabama","Butler",1013,27.272,NA,NA,-1.276,NA,-18.572
"Alabama","Calhoun",1015,13.671,NA,8.099,-17.084,NA,-20.099
"Alabama","Chambers",1017,27.143,NA,9.317,-4.009,NA,-27.657
"Alabama","Cherokee",1019,14.767,NA,NA,-13.137,NA,-19.469
"Alabama","Chilton",1021,21.138,NA,8.175,-14.541,24.799,-18.435
"Alabama","Choctaw",1023,25.805,NA,NA,NA,NA,-14.515
"Alabama","Clarke",1025,6.734,NA,NA,-7.592,NA,-18.899
"Alabama","Clay",1027,NA,NA,NA,-18.75,NA,-12.634
"Alabama","Cleburne",1029,18.333,NA,NA,-35.712,-35.998,-13.884
"Alabama","Coffee",1031,10.629,NA,7.69,-4.1,NA,-19.247
"Alabama","Colbert",1033,11.299,-34.885,6.432,-19.944,2.967,-14.383
"Alabama","Conecuh",1035,23.993,NA,NA,-19.382,0.734,-13.235
"Alabama","Coosa",1037,NA,NA,NA,NA,NA,-7.315
"Alabama","Covington",1039,26,NA,5.049,-4.587,NA,-14.906
"Alabama","Crenshaw",1041,13.43,NA,NA,-8.953,NA,-22.329
"Alabama","Cullman",1043,20.906,29.512,7.712,-16.292,11.815,-16.273
"Alabama","Dale",1045,14.912,NA,5.864,-19.814,10.527,-16.188
"Alabama","Dallas",1047,NA,NA,5.151,23.505,-16.944,3.812
"Alabama","DeKalb",1049,14.173,NA,7.008,-19.121,NA,-16.333
"Alabama","Elmore",1051,16.083,NA,10.765,-15.862,NA,-27.154
"Alabama","Escambia",1053,18.029,NA,6.662,-13.205,NA,-17.133
"Alabama","Etowah",1055,16.082,NA,7.507,-21.313,-16.663,-16.977
"Alabama","Fayette",1057,NA,NA,NA,-9.733,NA,-11.392
"Alabama","Franklin",1059,9.282,NA,5.432,-13.707,NA,-10.542
"Alabama","Geneva",1061,32.799,NA,NA,-3.893,NA,-14.548
"Alabama","Greene",1063,1.751,NA,NA,NA,-0.984,-23.966
"Alabama","Hale",1065,3.03,NA,NA,-22.224,NA,-20.001
"Alabama","Henry",1067,17.072,NA,NA,-21.568,NA,-18.258
"Alabama","Houston",1069,13.808,NA,7.903,-17.368,-3.999,-17.297
"Alabama","Jackson",1071,20.33,NA,7.631,-18.602,NA,-17.171
"Alabama","Jefferson",1073,17.199,16.664,13.275,-28.052,-24.06,-32.598
"Alabama","Lamar",1075,18.031,NA,NA,NA,NA,-9.156
"Alabama","Lauderdale",1077,17.772,NA,7.303,-20.883,NA,-17.292
"Alabama","Lawrence",1079,3.547,NA,7.29,-11.238,NA,-16.841
"Alabama","Lee",1081,9.731,NA,12.533,-25.34,NA,-30.73
"Alabama","Limestone",1083,14.473,19.993,11.281,-14.651,NA,-25.469
"Alabama","Lowndes",1085,NA,NA,NA,NA,6.963,-26.386
"Alabama","Macon",1087,31.182,NA,NA,-3.261,-3.573,-26.516
"Alabama","Madison",1089,10.948,-28.336,3.244,-26.713,-34.099,14.853
"Alabama","Marengo",1091,NA,NA,NA,23.486,-13.401,25.427
"Alabama","Marion",1093,26.398,NA,NA,-7.211,NA,-13.521
"Alabama","Marshall",1095,19.236,NA,7.356,-16.331,NA,-19.698
"Alabama","Mobile",1097,20.067,-10.365,-17.615,-17.572,-23.874,9.751
"Alabama","Monroe",1099,NA,NA,NA,24.23,-19.262,1.246
"Alabama","Montgomery",1101,13.913,-3.255,12.975,-19.744,4.195,-32.024
"Alabama","Morgan",1103,15.952,39.424,8.653,-19.113,-0.027,-20.165
"Alabama","Perry",1105,NA,NA,NA,NA,NA,-27.053
"Alabama","Pickens",1107,31.81,NA,NA,-1.548,NA,-18.269
"Alabama","Pike",1109,-4.813,NA,NA,-9.856,NA,-22.496
"Alabama","Randolph",1111,22.705,NA,NA,-8.892,NA,-15.359
"Alabama","Russell",1113,13.259,NA,8.436,-6.205,NA,-23.46
"Alabama","Shelby",1117,10.497,94.402,15.962,-26.512,NA,-37.257
"Alabama","St. Clair",1115,14.162,NA,11.265,-16.8,7.368,-25.238
"Alabama","Sumter",1119,NA,NA,NA,-15.9,NA,-28.603
"Alabama","Talladega",1121,19.778,NA,7.569,-12.234,5.008,-18.879
"Alabama","Tallapoosa",1123,28.34,NA,8.471,-9.372,NA,-12.543
"Alabama","Tuscaloosa",1125,13.046,22.104,11.251,-27.572,-2.307,-30.505
"Alabama","Walker",1127,14.487,NA,5.512,-20.418,-5.5,-16.666
"Alabama","Washington",1129,22.118,NA,NA,NA,NA,-14.084
"Alabama","Wilcox",1131,NA,NA,NA,NA,NA,-15.675
"Alabama","Winston",1133,16.811,NA,NA,-11.111,NA,-11.849
"Alaska","Anchorage",2020,5.532,-0.869,12.957,-29.654,-24.391,-26.777
"Alaska","Bethel",2050,NA,NA,NA,NA,NA,-19.443
"Alaska","Fairbanks North Star",2090,-2.234,NA,11.1,-23.266,-30.526,-22.713
"Alaska","Juneau",2110,4.193,NA,NA,-22.548,-6.248,-20.705
"Alaska","Kenai Peninsula Borough",2122,2.224,NA,8.826,-25.237,NA,-20.317
"Alaska","Ketchikan Gateway",2130,NA,NA,NA,-15.278,NA,-23.529
"Alaska","Kodiak Island",2150,NA,NA,NA,-16.129,NA,-11.94
"Alaska","Matanuska-Susitna",2170,4.483,NA,9.917,-21.081,NA,-28.464
"Alaska","North Slope",2185,NA,NA,NA,NA,NA,-7.578
"Alaska","Sitka",2220,NA,NA,NA,-59.375,NA,-22.724
"Alaska","Southeast Fairbanks",2240,NA,NA,NA,NA,NA,NA
"Alaska","Valdez-Cordova",2261,NA,NA,NA,NA,NA,-15.095
"Arizona","Apache",4001,14.493,1.538,16.278,-23.174,16.194,-39.719
"Arizona","Cochise",4003,7.671,-10.376,7.69,-16.232,0.001,-23.476
"Arizona","Coconino",4005,5.779,4.114,15.371,-34.351,-12.198,-40.41
"Arizona","Gila",4007,24.582,24.716,9.249,-13.22,NA,-26.859
"Arizona","Graham",4009,22.388,NA,8.958,-16.87,NA,-30.793
"Arizona","Greenlee",4011,6.062,NA,NA,-59.612,NA,-26.76
"Arizona","La Paz",4012,-8.296,-34.257,NA,-29.631,-9.676,-15.594
"Arizona","Maricopa",4013,7.519,-1.568,14.001,-23.546,-27.663,-34.171
"Arizona","Mohave",4015,17.29,-34.667,7.954,-14.021,2.038,-24.496
"Arizona","Navajo",4017,10.065,-19.608,11.815,-20.665,17.788,-36.215
"Arizona","Pima",4019,8.517,-12.634,12.465,-24.573,-26.196,-33.434
"Arizona","Pinal",4021,2.686,-14.652,10.726,-14.578,-1.777,-31.172
"Arizona","Santa Cruz",4023,-3.888,-6.554,10.167,-19.011,9.89,-26.005
"Arizona","Yavapai",4025,9.543,-27.204,10.241,-23.954,-16.199,-28.244
"Arizona","Yuma",4027,7.598,-33.189,7.041,-18.371,-17.61,-21.908
"Arkansas","Arkansas",5001,19.497,NA,NA,-13.17,NA,-12.308
"Arkansas","Ashley",5003,14.736,NA,NA,-15.663,NA,-16.512
"Arkansas","Baxter",5005,22.024,NA,7.034,-18.151,NA,-12.54
"Arkansas","Benton",5007,-3.108,0.001,17.25,-28.193,-50.529,-41.841
"Arkansas","Boone",5009,12.438,NA,9.819,-17.466,NA,-23.686
"Arkansas","Bradley",5011,NA,NA,NA,-14.753,NA,-25.806
"Arkansas","Carroll",5015,3.597,NA,NA,-13.954,NA,-20.184
"Arkansas","Chicot",5017,NA,NA,NA,NA,NA,-16.663
"Arkansas","Clark",5019,9.42,NA,NA,-15.05,-4.064,-20
"Arkansas","Clay",5021,NA,NA,NA,-16.667,NA,-16.664
"Arkansas","Cleburne",5023,18.279,NA,NA,-31.225,NA,-21.839
"Arkansas","Cleveland",5025,NA,NA,NA,NA,NA,-20.001
"Arkansas","Columbia",5027,-3.743,NA,NA,6.888,NA,-17.688
"Arkansas","Conway",5029,10.222,NA,NA,-3.65,0.001,-19.311
"Arkansas","Craighead",5031,12.121,NA,9.753,-20.584,-1.469,-18.963
"Arkansas","Crawford",5033,9.891,NA,9.141,-9.693,9.836,-22.049
"Arkansas","Crittenden",5035,22.994,NA,7.454,-9.552,3.647,-19.485
"Arkansas","Cross",5037,NA,NA,NA,-38.462,NA,-11.866
"Arkansas","Dallas",5039,NA,NA,NA,-5.478,NA,-25.005
"Arkansas","Desha",5041,26.312,NA,NA,-5.508,NA,-13.846
"Arkansas","Drew",5043,16.832,NA,NA,-11.625,NA,-21.62
"Arkansas","Faulkner",5045,4.436,NA,11.684,-23.012,NA,-26.654
"Arkansas","Franklin",5047,12.858,NA,NA,-4.803,-8.33,-15.745
"Arkansas","Fulton",5049,NA,NA,NA,NA,NA,-14.866
"Arkansas","Garland",5051,7.681,42.862,8.254,-15.784,NA,-22.224
"Arkansas","Grant",5053,NA,NA,NA,-11.915,NA,-19.694
"Arkansas","Greene",5055,12.967,NA,7.696,-9.547,NA,-18.699
"Arkansas","Hempstead",5057,33.643,NA,NA,-6.591,NA,-17.174
"Arkansas","Hot Spring",5059,24.279,NA,8.261,3.831,-2.27,-16.976
"Arkansas","Howard",5061,11.322,NA,NA,-1.886,NA,-20.2
"Arkansas","Independence",5063,25.309,NA,9.65,-18.404,NA,-21.311
"Arkansas","Izard",5065,10.201,NA,NA,NA,NA,-13.568
"Arkansas","Jackson",5067,NA,NA,NA,-2.76,NA,-15.788
"Arkansas","Jefferson",5069,18.728,NA,6.603,-17.656,-6.24,-19.552
"Arkansas","Johnson",5071,16.128,NA,NA,-6.912,NA,-21.596
"Arkansas","Lawrence",5075,15.295,NA,NA,-19.998,NA,-20.016
"Arkansas","Lincoln",5079,NA,NA,NA,NA,NA,-13.792
"Arkansas","Little River",5081,26.562,NA,NA,0.951,NA,-19.003
"Arkansas","Logan",5083,14.601,NA,NA,-7.007,NA,-18.562
"Arkansas","Lonoke",5085,16.923,NA,9.662,-13.185,NA,-23.259
"Arkansas","Madison",5087,2.819,NA,NA,-12.933,NA,-24.409
"Arkansas","Marion",5089,2.941,NA,NA,-6.305,NA,-19.331
"Arkansas","Miller",5091,16.726,NA,6.455,-7.792,0.002,-16.467
"Arkansas","Mississippi",5093,22.869,NA,6.646,-4.52,7.354,-20.916
"Arkansas","Monroe",5095,20.734,NA,NA,12.067,NA,-16.995
"Arkansas","Montgomery",5097,NA,NA,NA,NA,NA,-23.52
"Arkansas","Nevada",5099,NA,NA,NA,-18.166,1.463,-10.027
"Arkansas","Newton",5101,NA,NA,NA,NA,NA,-16.658
"Arkansas","Ouachita",5103,7.85,NA,NA,-4.026,NA,-14.782
"Arkansas","Perry",5105,NA,NA,NA,NA,NA,-20.558
"Arkansas","Phillips",5107,12.326,NA,NA,-10.22,NA,-21.339
"Arkansas","Pike",5109,18.623,NA,NA,-7.713,NA,-18.759
"Arkansas","Poinsett",5111,15.213,NA,NA,-0.846,NA,-15.098
"Arkansas","Polk",5113,42.476,NA,NA,-12.361,NA,-21.221
"Arkansas","Pope",5115,15.626,NA,8.736,-21.808,-1.491,-18.131
"Arkansas","Prairie",5117,NA,NA,NA,NA,NA,-7.43
"Arkansas","Pulaski",5119,10.92,-26.791,-24.084,-21.021,-25.533,10.6
"Arkansas","Randolph",5121,NA,NA,NA,26.924,-18.746,22.772
"Arkansas","Saline",5125,11.826,-12.243,10.855,-13.089,-0.021,-23.786
"Arkansas","Scott",5127,NA,NA,NA,-27.667,NA,-16.914
"Arkansas","Searcy",5129,NA,NA,NA,NA,NA,-22.192
"Arkansas","Sebastian",5131,10.88,6.653,9.233,-18.243,-16.325,-23.033
