GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PUMA5A,NAME_E,IG2E001,II0E001,II0E002,II0E003,II0E004,II0E005,II0E006,II0E007,II0E008,IJ3E001,IJ3E002,IJ3E003,JIFE001,JIFE002,JIFE003,JIFE004,JIFE005,JIFE006,JIFE007,JIFE008,JIFE009,JIFE010,JIFE011,JIFE012,JIFE013,JIFE014,JIFE015,JIFE016,JIFE017,JIFE018,JIFE019,JIFE020,JIFE021,JIFE022,JIFE023,JIFE024,JIFE025,JIFE026,JIFE027,JIFE028,JIFE029,JIFE030,JIFE031,JIFE032,JIFE033,JIFE034,JIFE035,JIFE036,JIFE037,JIFE038,JIFE039,JIFE040,JIFE041,JIFE042,JIFE043,JIFE044,JIFE045,JIFE046,JIFE047,JIFE048,JIFE049,JIFE050,JIFE051,JIFE052,JIFE053,JIFE054,JIFE055,JIFE056,JIFE057,JIFE058,JIFE059,JIFE060,JIFE061,JIFE062,JIFE063,JIFE064,JIFE065,JIFE066,NAME_M,IG2M001,II0M001,II0M002,II0M003,II0M004,II0M005,II0M006,II0M007,II0M008,IJ3M001,IJ3M002,IJ3M003,JIFM001,JIFM002,JIFM003,JIFM004,JIFM005,JIFM006,JIFM007,JIFM008,JIFM009,JIFM010,JIFM011,JIFM012,JIFM013,JIFM014,JIFM015,JIFM016,JIFM017,JIFM018,JIFM019,JIFM020,JIFM021,JIFM022,JIFM023,JIFM024,JIFM025,JIFM026,JIFM027,JIFM028,JIFM029,JIFM030,JIFM031,JIFM032,JIFM033,JIFM034,JIFM035,JIFM036,JIFM037,JIFM038,JIFM039,JIFM040,JIFM041,JIFM042,JIFM043,JIFM044,JIFM045,JIFM046,JIFM047,JIFM048,JIFM049,JIFM050,JIFM051,JIFM052,JIFM053,JIFM054,JIFM055,JIFM056,JIFM057,JIFM058,JIFM059,JIFM060,JIFM061,JIFM062,JIFM063,JIFM064,JIFM065,JIFM066
"G0100030","2010",,,"Alabama","01","Baldwin County","003",,,,,,,,,,,,,,,,,"Baldwin County, Alabama",2145,183195,175459,96165,77778,1516,170,1346,7736,183195,175459,7736,180735,42139,34834,20796,2692,0,10777,406,163,1566,389,0,0,89,0,1088,5739,33979,20227,15711,1977,0,2167,322,50,1650,376,0,127,0,0,1147,12102,75000,52711,40151,6627,1383,2710,786,1054,7982,2303,1057,201,503,474,99,3345,14307,29617,8559,389,0,8170,0,0,21058,0,6916,5195,914,0,345,7688,0,"Baldwin County, Alabama",-1,0,2653,4859,5186,616,220,585,2653,0,2653,2653,888,458,2515,2466,1161,273,2073,362,279,693,377,273,273,196,273,533,2477,888,1820,1695,842,273,1022,311,91,869,308,273,150,273,273,809,1753,800,2772,2956,1472,881,1006,412,826,1618,1109,492,181,342,274,111,984,2366,735,1532,253,273,1459,273,273,1472,273,1311,968,484,273,339,1415,273
"G0100150","2010",,,"Alabama","01","Calhoun County","015",,,,,,,,,,,,,,,,,"Calhoun County, Alabama",1602,118510,115270,85942,27960,1368,176,1192,3240,118510,115270,3240,117641,26961,22905,10042,458,0,11627,778,0,3089,296,0,97,0,0,2696,967,27407,17328,13190,1142,0,2533,212,251,2312,469,50,296,64,0,1433,7767,46641,30302,22602,1153,1423,4044,626,454,8569,1791,329,590,1490,1165,355,2849,7770,16632,3050,141,0,2869,40,0,13582,0,3726,3152,794,0,235,5675,0,"Calhoun County, Alabama",-1,0,1028,3237,3041,618,235,591,1028,0,1028,1028,991,250,1518,1821,440,273,2218,664,273,1421,311,273,127,273,273,1473,694,735,2107,1872,568,273,998,333,394,1074,479,90,305,118,273,857,2317,849,1806,2062,601,603,1243,415,393,1363,711,206,427,746,533,337,954,1509,669,704,129,273,708,65,273,937,273,828,800,404,273,210,1035,273
"G0100430","2010",,,"Alabama","01","Cullman County","043",,,,,,,,,,,,,,,,,"Cullman County, Alabama",1087,80459,77852,61955,15700,197,0,197,2607,80459,77852,2607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cullman County, Alabama",-1,0,1057,2330,2371,224,273,224,1057,0,1057,1057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0100490","2010",,,"Alabama","01","DeKalb County","049",,,,,,,,,,,,,,,,,"DeKalb County, Alabama",1100,71151,66022,47854,17934,234,0,234,5129,71151,66022,5129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DeKalb County, Alabama",-1,0,745,2040,2077,297,273,297,745,0,745,745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0100510","2010",,,"Alabama","01","Elmore County","051",,,,,,,,,,,,,,,,,"Elmore County, Alabama",1351,79549,78271,58564,19061,646,37,609,1278,79549,78271,1278,71895,18337,16323,10333,719,0,4344,927,0,1032,187,0,0,261,0,584,982,14668,10688,8255,1230,0,582,621,0,614,211,0,97,133,0,173,3366,30055,22869,18809,2302,418,504,752,84,3683,439,231,282,87,1364,0,1280,3503,8835,1664,39,0,1625,0,0,7171,0,2143,826,437,0,14,3751,0,"Elmore County, Alabama",-1,0,637,2309,2467,330,76,313,637,0,637,637,3183,260,944,1505,496,273,1147,598,273,586,246,273,273,240,273,489,581,1607,1560,1449,639,273,368,543,273,360,238,273,133,190,273,169,1038,1948,2013,1863,759,255,294,420,130,916,341,211,298,111,653,273,547,1157,528,552,67,273,540,273,273,676,273,631,505,264,273,26,784,273
"G0100550","2010",,,"Alabama","01","Etowah County","055",,,,,,,,,,,,,,,,,"Etowah County, Alabama",1543,104462,103112,83426,19266,420,0,420,1350,104462,103112,1350,103672,23809,19691,7824,2339,142,9121,0,265,2109,443,0,59,61,63,1483,2009,20815,12219,9308,985,179,1690,0,57,1132,220,0,320,0,0,592,7464,42750,28658,19908,3596,1969,2693,102,390,5449,1122,469,338,1668,109,159,1584,8643,16298,3912,176,0,3736,0,0,12375,0,2804,3566,947,0,198,4860,11,"Etowah County, Alabama",-1,0,731,2269,2357,274,273,274,731,0,731,731,891,270,1317,1501,1226,155,1687,273,282,877,323,273,95,99,109,731,952,767,1469,1484,606,178,596,273,98,544,288,273,305,273,273,408,1310,726,1822,2004,1115,756,812,119,361,943,549,281,299,747,105,176,593,1759,450,866,272,273,866,273,273,913,273,664,879,392,273,184,906,19
"G0100690","2010",,,"Alabama","01","Houston County","069",,,,,,,,,,,,,,,,,"Houston County, Alabama",3927,101888,99316,65136,33438,742,205,537,2572,101888,99316,2572,99301,24351,21852,8857,1284,30,10981,700,0,1123,208,73,17,252,0,573,1376,20970,12791,8758,1539,31,2285,153,25,899,120,26,77,292,0,384,7280,39945,29350,23173,2679,1399,1176,425,498,4539,1033,496,180,823,664,117,1226,6056,14035,2770,52,0,2718,0,0,11218,0,2347,2891,1312,0,358,4310,47,"Houston County, Alabama",-1,0,442,1823,1768,311,208,221,442,0,442,442,1313,885,932,1144,487,37,1027,310,273,303,139,118,27,143,273,229,568,668,1059,1027,514,38,505,137,42,382,86,42,68,225,273,221,1107,591,924,989,415,382,324,184,243,599,328,206,237,241,278,77,327,784,664,508,70,273,511,273,273,803,273,504,440,306,273,156,617,75
"G0100730","2010",,,"Alabama","01","Jefferson County","073",,,,,,,,,,,,,,,,,"Jefferson County, Alabama",8486,658555,630205,492796,133965,3444,420,3024,28350,658555,630205,28350,649986,153513,136133,71670,5840,538,56488,1597,0,8079,2748,0,275,881,0,4175,9301,157225,108440,80235,10762,537,15967,817,122,6644,2158,85,979,339,0,3083,42141,255531,189450,150798,14103,5824,13256,1967,3502,25893,6700,1443,1143,5172,952,1395,9088,40188,83717,21703,1392,126,20185,0,0,61824,169,16977,16650,7075,0,1727,19226,190,"Jefferson County, Alabama",-1,0,2254,7079,7191,864,351,853,2254,0,2254,2254,2152,989,3314,4075,1441,566,4183,1040,273,1812,947,273,325,867,273,1354,2546,1346,3739,3890,2041,458,2117,618,171,1410,785,115,567,370,273,922,3077,1753,4114,4471,2134,1492,1710,823,1007,2451,1401,661,489,1162,522,650,1373,3766,733,1712,581,145,1735,273,273,1835,159,1679,1923,1102,273,692,1992,306
"G0100770","2010",,,"Alabama","01","Lauderdale County","077",,,,,,,,,,,,,,,,,"Lauderdale County, Alabama",1265,92679,90903,64204,26182,517,0,517,1776,92679,90903,1776,92234,20184,17733,9130,1519,252,6509,323,0,802,96,0,0,57,0,649,1649,20656,15567,11856,2684,127,740,160,0,864,415,0,84,0,0,365,4225,36209,27840,21980,2643,590,1808,643,176,3386,855,263,42,757,504,50,915,4983,15185,3731,223,237,3271,0,0,11362,0,3400,2673,988,0,122,4179,92,"Lauderdale County, Alabama",-1,0,719,3717,3683,494,273,494,719,0,719,719,688,590,1308,1797,1052,412,1609,346,273,535,88,273,273,98,273,496,1095,728,1207,1348,1214,204,486,214,273,466,312,273,146,273,273,407,1090,594,1613,1918,943,411,720,379,168,1002,424,211,76,398,549,83,422,1434,595,1023,179,353,914,273,273,1003,273,922,754,467,273,181,845,150
"G0100810","2010",,,"Alabama","01","Lee County","081",,,,,,,,,,,,,,,,,"Lee County, Alabama",2580,140780,132996,73644,57682,1670,297,1373,7784,140780,132996,7784,139206,31653,28453,15959,954,507,9847,1186,0,1817,554,0,0,239,0,1024,1383,48050,35571,26827,5772,42,1902,1010,18,2370,766,54,180,630,0,740,10109,46852,35677,30274,2268,744,964,1333,94,5148,1276,531,144,994,312,77,1814,6027,12651,2070,171,0,1899,0,0,10564,0,2534,3486,915,0,184,3445,17,"Lee County, Alabama",-1,0,1655,3544,3463,697,411,567,1655,0,1655,1655,1188,3,1228,2502,420,718,2082,772,273,714,452,273,273,270,273,591,1108,988,1985,1851,1364,70,948,452,32,687,295,95,239,464,273,361,1942,664,1577,2225,797,428,370,696,116,952,606,299,160,509,206,74,555,1384,99,564,157,273,548,273,273,568,273,652,840,411,273,163,805,26
