GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,TTRACTA,ANRCA,CBSAA,METDIVA,CSAA,NECTAA,NECTADIVA,CNECTAA,CDA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,NAME,LGI001,LGI002,LGI003,LGI004,LGI005,LGI006
"G0100010","2010","3","6","Alabama","01","Autauga County","001",,,,,,,,,,,"33860","99999","388",,,,,,,,,,,,"Autauga County",54571,0,0,0,0,54571
"G0100030","2010","3","6","Alabama","01","Baldwin County","003",,,,,,,,,,,"19300","99999","380",,,,,,,,,,,,"Baldwin County",182265,0,0,0,0,182265
"G0100050","2010","3","6","Alabama","01","Barbour County","005",,,,,,,,,,,"21640","99999","999",,,,,,,,,,,,"Barbour County",27457,0,0,0,0,27457
"G0100070","2010","3","6","Alabama","01","Bibb County","007",,,,,,,,,,,"13820","99999","142",,,,,,,,,,,,"Bibb County",22915,0,0,0,0,22915
"G0100090","2010","3","6","Alabama","01","Blount County","009",,,,,,,,,,,"13820","99999","142",,,,,,,,,,,,"Blount County",57322,0,0,0,0,57322
"G0100110","2010","3","6","Alabama","01","Bullock County","011",,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,"Bullock County",10914,0,0,0,0,10914
"G0100130","2010","3","6","Alabama","01","Butler County","013",,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,"Butler County",20947,0,0,0,0,20947
"G0100150","2010","3","6","Alabama","01","Calhoun County","015",,,,,,,,,,,"11500","99999","999",,,,,,,,,,,,"Calhoun County",118572,0,0,0,0,118572
"G0100170","2010","3","6","Alabama","01","Chambers County","017",,,,,,,,,,,"46740","99999","122",,,,,,,,,,,,"Chambers County",34215,0,0,0,0,34215
"G0100190","2010","3","6","Alabama","01","Cherokee County","019",,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,"Cherokee County",25989,0,0,0,0,25989
"G0100210","2010","3","6","Alabama","01","Chilton County","021",,,,,,,,,,,"13820","99999","142",,,,,,,,,,,,"Chilton County",43643,0,0,0,0,43643
"G0100230","2010","3","6","Alabama","01","Choctaw County","023",,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,"Choctaw County",13859,0,0,0,0,13859
"G0100250","2010","3","6","Alabama","01","Clarke County","025",,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,"Clarke County",25833,0,0,0,0,25833
"G0100270","2010","3","6","Alabama","01","Clay County","027",,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,"Clay County",13932,0,0,0,0,13932
"G0100290","2010","3","6","Alabama","01","Cleburne County","029",,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,"Cleburne County",14972,0,0,0,0,14972
"G0100310","2010","3","6","Alabama","01","Coffee County","031",,,,,,,,,,,"21460","99999","222",,,,,,,,,,,,"Coffee County",49948,0,0,0,0,49948
"G0100330","2010","3","6","Alabama","01","Colbert County","033",,,,,,,,,,,"22520","99999","999",,,,,,,,,,,,"Colbert County",54428,0,0,0,0,54428
"G0100350","2010","3","6","Alabama","01","Conecuh County","035",,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,"Conecuh County",13228,0,0,0,0,13228
"G0100370","2010","3","6","Alabama","01","Coosa County","037",,,,,,,,,,,"10760","99999","388",,,,,,,,,,,,"Coosa County",11539,0,0,0,0,11539
"G0100390","2010","3","6","Alabama","01","Covington County","039",,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,"Covington County",37765,0,0,0,0,37765
"G0100410","2010","3","6","Alabama","01","Crenshaw County","041",,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,"Crenshaw County",13906,0,0,0,0,13906
