GISJOIN,id,Temp,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,BLOCKA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,TTRACTA,TBLKGRPA,ANRCA,CBSAA,METDIVA,CSAA,NECTAA,NECTADIVA,CNECTAA,UAA,URBRURALA,CDA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,NAME,SABINSA,H7V001
G0100010,01000,G01000,2010,3,6,Alabama,1,Autauga County,1,,,,,,,,,,,,,,33860,99999,388,,,,,,,,,,,,,,Autauga County,,54571
G0100030,01000,G01000,2010,3,6,Alabama,1,Baldwin County,3,,,,,,,,,,,,,,19300,99999,380,,,,,,,,,,,,,,Baldwin County,,182265
G0100050,01000,G01000,2010,3,6,Alabama,1,Barbour County,5,,,,,,,,,,,,,,21640,99999,999,,,,,,,,,,,,,,Barbour County,,27457
G0100070,01000,G01000,2010,3,6,Alabama,1,Bibb County,7,,,,,,,,,,,,,,13820,99999,142,,,,,,,,,,,,,,Bibb County,,22915
G0100090,01000,G01000,2010,3,6,Alabama,1,Blount County,9,,,,,,,,,,,,,,13820,99999,142,,,,,,,,,,,,,,Blount County,,57322
G0100110,01001,G01001,2010,3,6,Alabama,1,Bullock County,11,,,,,,,,,,,,,,99999,99999,999,,,,,,,,,,,,,,Bullock County,,10914
G0100130,01001,G01001,2010,3,6,Alabama,1,Butler County,13,,,,,,,,,,,,,,99999,99999,999,,,,,,,,,,,,,,Butler County,,20947
G0100150,01001,G01001,2010,3,6,Alabama,1,Calhoun County,15,,,,,,,,,,,,,,11500,99999,999,,,,,,,,,,,,,,Calhoun County,,118572
G0100170,01001,G01001,2010,3,6,Alabama,1,Chambers County,17,,,,,,,,,,,,,,46740,99999,122,,,,,,,,,,,,,,Chambers County,,34215
G0100190,01001,G01001,2010,3,6,Alabama,1,Cherokee County,19,,,,,,,,,,,,,,99999,99999,999,,,,,,,,,,,,,,Cherokee County,,25989
G0100210,01002,G01002,2010,3,6,Alabama,1,Chilton County,21,,,,,,,,,,,,,,13820,99999,142,,,,,,,,,,,,,,Chilton County,,43643
G0100230,01002,G01002,2010,3,6,Alabama,1,Choctaw County,23,,,,,,,,,,,,,,99999,99999,999,,,,,,,,,,,,,,Choctaw County,,13859
G0100250,01002,G01002,2010,3,6,Alabama,1,Clarke County,25,,,,,,,,,,,,,,99999,99999,999,,,,,,,,,,,,,,Clarke County,,25833
G0100270,01002,G01002,2010,3,6,Alabama,1,Clay County,27,,,,,,,,,,,,,,99999,99999,999,,,,,,,,,,,,,,Clay County,,13932
G0100290,01002,G01002,2010,3,6,Alabama,1,Cleburne County,29,,,,,,,,,,,,,,99999,99999,999,,,,,,,,,,,,,,Cleburne County,,14972
G0100310,01003,G01003,2010,3,6,Alabama,1,Coffee County,31,,,,,,,,,,,,,,21460,99999,222,,,,,,,,,,,,,,Coffee County,,49948
G0100330,01003,G01003,2010,3,6,Alabama,1,Colbert County,33,,,,,,,,,,,,,,22520,99999,999,,,,,,,,,,,,,,Colbert County,,54428
G0100350,01003,G01003,2010,3,6,Alabama,1,Conecuh County,35,,,,,,,,,,,,,,99999,99999,999,,,,,,,,,,,,,,Conecuh County,,13228
G0100370,01003,G01003,2010,3,6,Alabama,1,Coosa County,37,,,,,,,,,,,,,,10760,99999,388,,,,,,,,,,,,,,Coosa County,,11539
G0100390,01003,G01003,2010,3,6,Alabama,1,Covington County,39,,,,,,,,,,,,,,99999,99999,999,,,,,,,,,,,,,,Covington County,,37765
G0100410,01004,G01004,2010,3,6,Alabama,1,Crenshaw County,41,,,,,,,,,,,,,,99999,99999,999,,,,,,,,,,,,,,Crenshaw County,,13906
G0100430,01004,G01004,2010,3,6,Alabama,1,Cullman County,43,,,,,,,,,,,,,,18980,99999,142,,,,,,,,,,,,,,Cullman County,,80406
G0100450,01004,G01004,2010,3,6,Alabama,1,Dale County,45,,,,,,,,,,,,,,21460,99999,222,,,,,,,,,,,,,,Dale County,,50251
G0100470,01004,G01004,2010,3,6,Alabama,1,Dallas County,47,,,,,,,,,,,,,,42820,99999,999,,,,,,,,,,,,,,Dallas County,,43820
G0100490,01004,G01004,2010,3,6,Alabama,1,DeKalb County,49,,,,,,,,,,,,,,22840,99999,999,,,,,,,,,,,,,,DeKalb County,,71109
G0100510,01005,G01005,2010,3,6,Alabama,1,Elmore County,51,,,,,,,,,,,,,,33860,99999,388,,,,,,,,,,,,,,Elmore County,,79303
G0100530,01005,G01005,2010,3,6,Alabama,1,Escambia County,53,,,,,,,,,,,,,,99999,99999,999,,,,,,,,,,,,,,Escambia County,,38319
G0100550,01005,G01005,2010,3,6,Alabama,1,Etowah County,55,,,,,,,,,,,,,,23460,99999,999,,,,,,,,,,,,,,Etowah County,,104430
G0100570,01005,G01005,2010,3,6,Alabama,1,Fayette County,57,,,,,,,,,,,,,,99999,99999,999,,,,,,,,,,,,,,Fayette County,,17241
G0100590,01005,G01005,2010,3,6,Alabama,1,Franklin County,59,,,,,,,,,,,,,,99999,99999,999,,,,,,,,,,,,,,Franklin County,,31704
G0100610,01006,G01006,2010,3,6,Alabama,1,Geneva County,61,,,,,,,,,,,,,,20020,99999,222,,,,,,,,,,,,,,Geneva County,,26790
G0100630,01006,G01006,2010,3,6,Alabama,1,Greene County,63,,,,,,,,,,,,,,46220,99999,999,,,,,,,,,,,,,,Greene County,,9045
